,m_a [eV],G_ap[GeV^-1]
0,9.884397769895397e-16,5.43923755630874e-19
1,1.416443723009669e-15,4.950466786685638e-19
2,3.165562363056751e-15,4.1016976934847864e-19
3,7.538360672630684e-15,3.3349754852720697e-19
4,1.3634089936604228e-14,2.8687050270094394e-19
5,3.178735328745347e-14,2.3771359293400693e-19
6,6.809422312888933e-14,2.045736823284039e-19
7,1.2577950335230224e-13,1.8990048328654789e-19
8,2.2746844005678255e-13,1.7626945642165417e-19
9,4.476692624151851e-13,1.732696983447008e-19
10,7.597244309034114e-13,1.768560256517426e-19
11,1.0434270550900263e-12,1.8387742686089986e-19
12,1.4950122765150962e-12,1.9119987261638345e-19
13,1.886676458654049e-12,1.987444026556009e-19
14,2.3311046447137325e-12,2.0657459104540377e-19
15,3.0688920619765427e-12,2.18876568025296e-19
16,4.304839489030658e-12,2.364079148020603e-19
17,6.0386770502170014e-12,2.505303341947973e-19
18,9.415628672351948e-12,2.758760870528168e-19
19,1.4681040658140442e-11,3.037860291536459e-19
20,2.0162475754258792e-11,3.280992419430375e-19
21,3.143705716140985e-11,3.6823359114617123e-19
22,4.5039760665726535e-11,4.0539267222664983e-19
23,6.59080702204989e-11,4.463275524744903e-19
24,8.405739782617088e-11,4.728660100363988e-19
25,1.2042873672418237e-10,5.205837273485285e-19
26,1.7999522525914744e-10,5.731835314868803e-19
27,3.2889140164206996e-10,6.685449231666908e-19
28,4.3297505068873763e-10,7.219670888903103e-19
29,5.70010316399045e-10,7.649618369995663e-19
30,8.359204565121522e-10,8.262088738526943e-19
31,8.359204565121522e-10,1.280083627577358e-19
32,4.251263281423182e-09,6.605660965992404e-19
33,4.251263281423182e-09,1.2858319686901115e-18
34,5.479728048992624e-09,1.3366473415166922e-18
35,6.915008097366636e-09,1.4432880636194797e-18
36,8.913006121539076e-09,1.5291499554642847e-18
37,1.2240840006355133e-08,1.6515339517187141e-18
38,1.7170643468094267e-08,1.7838167935158205e-18
39,2.6771647936074394e-08,2.040482438074365e-18
40,3.676733243793261e-08,2.2037904211574896e-18
41,4.8918837972016444e-08,2.3350990969253967e-18
42,4.8918837972016444e-08,5.097746004198287e-15
43,3.874914241631701e-07,8.090067538653827e-15
44,3.874914241631701e-07,6.688469712921798e-17
45,7.700894635818412e-07,1.3294411932925565e-16
46,7.700894635818412e-07,1.6706667596307513e-11
47,6.501813721380659e-06,2.862859053957374e-11
48,6.501813721380659e-06,1.0
