,m_a [eV],G_ap[GeV^-1]
0,4.115332170689896e-10,4e-10
1,4.115332170689896e-10,1.6688352721603202e-10
2,4.1639073990246334e-10,1.6719280917961674e-10
3,4.214954146527708e-10,1.6704096036189034e-10
4,4.2575679390562364e-10,1.8084376506745034e-10
5,4.260357715751963e-10,1.6740726317010447e-10
6,4.269022730107146e-10,1.6193546748528273e-10
7,4.315944139432828e-10,1.6522383068975781e-10
8,4.368854756699343e-10,1.650737701490349e-10
9,4.420634937179552e-10,1.6164588711463665e-10
10,4.475981766406512e-10,1.593467736053991e-10
11,4.525714393248752e-10,1.6045311797767828e-10
12,4.5793001455317084e-10,1.579963751129038e-10
13,4.637980009204689e-10,1.5844190758070224e-10
14,4.671158978747214e-10,1.6945231161101127e-10
15,4.67268355444534e-10,1.8115096604112963e-10
16,4.701400453872066e-10,1.6246508667766963e-10
17,4.709894617964975e-10,1.8785486960174462e-10
18,4.720074961257033e-10,1.7321096475463489e-10
19,4.740126494026405e-10,1.5490165186261574e-10
20,4.743152749374174e-10,1.6247941181839915e-10
21,4.78176009155112e-10,1.5469954565141963e-10
22,4.799379546307224e-10,1.5894182342094588e-10
23,4.860703857927028e-10,1.556778735313453e-10
24,4.906531521241177e-10,1.569209024445434e-10
25,4.947594854542652e-10,1.5313214053109187e-10
26,4.998320485030669e-10,1.5411187898515963e-10
27,5.060349563556473e-10,1.586678910795528e-10
28,5.116440264128935e-10,1.6311576395067663e-10
29,5.176417469060369e-10,1.6326296802104505e-10
30,5.238013794495936e-10,1.6257972317654306e-10
31,5.292198640408077e-10,1.5988013741341196e-10
32,5.358227491751286e-10,1.5641567752175502e-10
33,5.391472620796348e-10,1.5770410519188354e-10
34,5.419378512256988e-10,1.6587164229353667e-10
35,5.471127463754525e-10,1.7070319865181596e-10
36,5.487233680522259e-10,1.6365116723682512e-10
37,5.54427066485483e-10,1.6749471215670457e-10
38,5.613930539350806e-10,1.6678056041955945e-10
39,5.680327279996342e-10,1.6524366020195246e-10
40,5.747337555843098e-10,1.660615694993555e-10
41,5.809942938320746e-10,1.5864372479694598e-10
42,5.890274848888562e-10,1.535717231082577e-10
43,5.949671899676531e-10,1.5660980201257588e-10
44,6.018652818702043e-10,1.5320146456237615e-10
45,6.096047693320833e-10,1.5010656188809206e-10
46,6.167951498065124e-10,1.5097373471334603e-10
47,6.245107189938221e-10,1.5227971899410434e-10
48,6.314584192771851e-10,1.4964405575588504e-10
49,6.389311935435802e-10,1.4777783267515624e-10
50,6.464879220158524e-10,1.4641604457092822e-10
51,6.541156111379428e-10,1.4701972755386926e-10
52,6.613921388621896e-10,1.4628485711054482e-10
53,6.696666919799466e-10,1.4566492546721393e-10
54,6.77578423466602e-10,1.4518623268167074e-10
55,6.8558808128996e-10,1.442632374129344e-10
56,6.936737951699032e-10,1.4518623268167074e-10
57,7.021821353587165e-10,1.4462726610803385e-10
58,7.096459657679162e-10,1.4370967218861236e-10
59,7.153221069234659e-10,1.4167132463896094e-10
60,7.231922830171565e-10,1.4138380039389056e-10
61,7.317341706406057e-10,1.4112226127854607e-10
62,7.403888135348331e-10,1.397930424513139e-10
63,7.491529576419991e-10,1.3785100904058663e-10
64,7.580136225961476e-10,1.3655260186577503e-10
65,7.669777590966733e-10,1.3537778324802672e-10
66,7.760552979764437e-10,1.3360698986714846e-10
67,7.852144285946879e-10,1.339372400819766e-10
68,7.95222674384134e-10,1.3315031167742973e-10
69,8.038490675014555e-10,1.3533322866380848e-10
70,8.129223525161483e-10,1.3792350368712109e-10
71,8.217794549989646e-10,1.4744059303313542e-10
72,8.218076543756442e-10,1.5714427691251972e-10
73,8.249018499281323e-10,1.3942786315740484e-10
74,8.298546739799461e-10,1.3188648928918268e-10
75,8.379135769954337e-10,1.2586028703662033e-10
76,8.472494558858137e-10,1.216779701302034e-10
77,8.562307510223631e-10,1.2013731730394525e-10
78,8.664224244237532e-10,1.194359234872794e-10
79,8.766970601228208e-10,1.165953829053216e-10
80,8.871046809658916e-10,1.131453385321476e-10
81,8.979651864914298e-10,1.1054533903458012e-10
82,9.073283486540481e-10,1.09688726957683e-10
83,9.18964894988754e-10,1.094365578716113e-10
84,9.294321032339741e-10,1.1131320962632135e-10
85,9.374087307790494e-10,1.1892453040682653e-10
86,9.41790278561999e-10,1.2898146370198833e-10
87,9.419957694336694e-10,1.6449321921270277e-10
88,9.42058410604581e-10,1.1367419011534101e-10
89,9.421973953816785e-10,1.4859180637897104e-10
90,9.423376521987808e-10,1.3844785769220386e-10
91,9.426090841408822e-10,1.5557724812982606e-10
92,9.475480550071158e-10,1.2719651309257615e-10
93,9.479896297087275e-10,1.1868639767504557e-10
94,9.482525049525643e-10,1.483566059355573e-10
95,9.483518925856209e-10,1.4115129727207973e-10
96,9.48491956476929e-10,1.3158836444724585e-10
97,9.489813742659996e-10,1.1072417408000743e-10
98,9.53502632387362e-10,1.0541471518689035e-10
99,9.606373410284374e-10,1.0013797654285683e-10
100,9.716313790265292e-10,9.770845226555521e-11
101,9.837780086791906e-10,9.617063295828505e-11
102,9.902336226392728e-10,9.912165996256756e-11
103,1.0071278142814546e-09,1.0111893636836852e-10
104,1.0144762106620895e-09,1.0086401964794435e-10
105,1.016680576834479e-09,9.305149380624751e-11
106,1.0294361806916992e-09,9.0305077121892e-11
107,1.0416317660379327e-09,8.864840429765968e-11
108,1.0539330326915152e-09,8.855726323918448e-11
109,1.0674541143619397e-09,8.799789709988751e-11
110,1.0788795082539896e-09,8.754106190647094e-11
111,1.0926416255839636e-09,8.752785573395643e-11
112,1.1054554644454556e-09,8.487137382413166e-11
113,1.1177523534686803e-09,8.446307568282415e-11
114,1.1309574318466517e-09,8.420427289141468e-11
115,1.1445905456221082e-09,8.460199528204656e-11
116,1.156678314297738e-09,8.39137438162651e-11
117,1.1672448049290916e-09,8.181360435936414e-11
118,1.1760337061203396e-09,8.4208603827724e-11
119,1.189289725862791e-09,8.51186753761989e-11
120,1.2032551650752065e-09,8.534370218343496e-11
121,1.2166506968533666e-09,8.886843986491838e-11
122,1.2316368854850335e-09,9.136015895755222e-11
123,1.2450084733435582e-09,8.893023127309296e-11
124,1.250657915230896e-09,8.660835724606526e-11
125,1.2644389028194173e-09,8.648431485373514e-11
126,1.2796016811372985e-09,8.82048678136784e-11
127,1.294281836950356e-09,8.693370660956264e-11
128,1.2973833341958394e-09,8.489424189996033e-11
129,1.3105537839997759e-09,8.732588485459944e-11
130,1.3255016497571093e-09,8.851508229453496e-11
131,1.3417813767051478e-09,9.006778129320628e-11
132,1.3573341564981522e-09,8.986953805762861e-11
133,1.3611761493032414e-09,8.781601322759737e-11
134,1.3730671151545858e-09,9.01411168159382e-11
135,1.3820174831995967e-09,8.70915254584885e-11
136,1.3971418432045991e-09,8.80104753478148e-11
137,1.4122676089596697e-09,8.683732230014892e-11
138,1.4307817095414928e-09,8.783872813657807e-11
139,1.4400240808135805e-09,8.855726323918448e-11
140,1.44326570768504e-09,8.26345167859373e-11
141,1.4572785867267924e-09,8.037785531142852e-11
142,1.4702019210291688e-09,8.175191224518205e-11
143,1.4877248627861276e-09,8.181360435936414e-11
144,1.4999713257509257e-09,7.917255358295991e-11
145,1.505270281260734e-09,8.204536470020414e-11
146,1.5121511601770764e-09,9.008447031177525e-11
147,1.5134547985793207e-09,8.387577264531014e-11
148,1.5162889937491213e-09,9.505163971570575e-11
149,1.5342476045625277e-09,9.344235990042286e-11
150,1.549087202283537e-09,9.248292318071805e-11
151,1.553187944629525e-09,8.59683001048075e-11
152,1.5577818781639182e-09,8.167906335560556e-11
