,m_a [eV],G_ap[GeV^-1]
0,2.801448275862069e-06,3.8072855242911103e-16
1,2.804960815047022e-06,3.2333420286324195e-16
2,2.805384012539185e-06,3.5277799587844587e-16
3,2.8070344827586204e-06,3.813571363148818e-16
4,2.809362068965517e-06,3.2734892347357543e-16
5,2.8101068965517243e-06,3.4211357376281776e-16
6,2.8112241379310345e-06,3.589879167262412e-16
7,2.8126206896551723e-06,3.810337350917889e-16
8,2.8151344827586204e-06,3.4240394161742497e-16
9,2.8158793103448272e-06,3.2734892347357543e-16
10,2.8158793103448272e-06,3.111028073424611e-16
11,2.8158793103448272e-06,2.9566297548607283e-16
12,2.8158793103448272e-06,2.8218388296540784e-16
13,2.816810344827586e-06,3.589879167262412e-16
14,2.8182068965517242e-06,3.8038775517212655e-16
15,2.8219310344827585e-06,3.584806743045595e-16
16,2.8251896551724135e-06,3.3436603987008385e-16
17,2.826785714285714e-06,3.152781367690977e-16
18,2.8275172413793105e-06,3.5734199783134267e-16
19,2.8289137931034482e-06,3.040575459764756e-16
20,2.8307758620689654e-06,3.364210699988274e-16
21,2.8329039408866994e-06,3.1681029259796613e-16
22,2.8341275862068967e-06,2.989418999533654e-16
23,2.8362689655172413e-06,3.4211357376281776e-16
24,2.8372931034482757e-06,2.632947137560725e-16
25,2.8372931034482757e-06,2.5271657881970465e-16
26,2.8376422413793102e-06,3.1176334650977954e-16
27,2.837758620689655e-06,2.8258316707307427e-16
28,2.8415758620689654e-06,3.481156325212172e-16
29,2.8419482758620688e-06,3.310728601993517e-16
30,2.8428793103448276e-06,3.045739008445069e-16
31,2.843810344827586e-06,2.50581633386806e-16
32,2.8444310344827588e-06,2.588648860042021e-16
33,2.8447413793103447e-06,2.906885647380387e-16
34,2.8447413793103447e-06,2.7665278318655216e-16
35,2.8454655172413793e-06,3.1508713902875256e-16
36,2.8470689655172413e-06,3.563328777228033e-16
37,2.8470689655172413e-06,3.386483066193135e-16
38,2.8506379310344826e-06,3.1897212321700026e-16
39,2.8526551724137928e-06,3.563328777228033e-16
40,2.853120689655172e-06,3.357874113865889e-16
41,2.855913793103448e-06,3.400878818145933e-16
42,2.858520689655172e-06,3.5182698649552185e-16
43,2.8638275862068966e-06,3.6268695250135683e-16
44,2.8662881773399014e-06,3.3885358653500713e-16
