,m_a [eV],G_ap[GeV^-1]
0,3.312870397404704e-06,1.0
1,3.312870397404704e-06,5.101847784044922e-16
2,3.314263179237632e-06,4.970121044099702e-16
3,3.3252744886005226e-06,5.152404614127314e-16
4,3.336572897285435e-06,5.243892741276483e-16
5,3.3485470397404705e-06,5.301250487718403e-16
6,3.359903568532036e-06,5.437471728439339e-16
7,3.3666412994503023e-06,5.317615613650933e-16
8,3.373121603811841e-06,5.600764424897485e-16
9,3.3798846309813465e-06,5.487879430281759e-16
10,3.384384387672344e-06,5.680991760093389e-16
11,3.3952111832026676e-06,5.719922349630926e-16
12,3.4062671330089214e-06,5.621588316206591e-16
13,3.4074724249797244e-06,5.6919426743174855e-16
14,3.4187218167072182e-06,5.6272296734249895e-16
15,3.423864395782644e-06,5.407015742459766e-16
16,3.4268761376948723e-06,5.155161581315754e-16
17,3.431042579075426e-06,5.107582292843143e-16
18,3.4342566909975673e-06,5.313468844831559e-16
19,3.4362733886742044e-06,5.512412569025812e-16
20,3.4471131386861314e-06,5.550228060973126e-16
21,3.4568224351175994e-06,5.456046496855297e-16
22,3.458898215733982e-06,5.223635734461769e-16
23,3.4601124357934577e-06,5.707492614386894e-16
24,3.4680460727431527e-06,5.536361835345515e-16
25,3.4711296972154637e-06,5.777840186037985e-16
26,3.479407310856216e-06,5.578472093172236e-16
27,3.4805041903217087e-06,5.352337881147397e-16
28,3.483386687521724e-06,5.852721252219346e-16
29,3.491421967327077e-06,5.51594484149004e-16
30,3.494100393928861e-06,5.641923710770553e-16
31,3.4942534468775347e-06,5.853209198413979e-16
32,3.500069458927123e-06,5.412596881952157e-16
33,3.505562359196179e-06,5.565981086658495e-16
34,3.505949243038659e-06,5.744709431288468e-16
35,3.51765443718786e-06,5.69218306233573e-16
36,3.524864036612212e-06,5.573784684111086e-16
37,3.530613087996756e-06,5.78170497886359e-16
38,3.533298954672434e-06,5.630868214121615e-16
39,3.5421303223844285e-06,5.839988060545087e-16
40,3.5531788321167885e-06,5.823822237696543e-16
41,3.5597856177345233e-06,5.678257325125412e-16
42,3.5655353068396866e-06,5.907542787355072e-16
43,3.5746062449310627e-06,5.587858740579791e-16
44,3.5769096918085972e-06,5.883731516282252e-16
45,3.5788917274939175e-06,6.219450270269398e-16
46,3.588092910643576e-06,5.920197056415369e-16
47,3.5903706986444216e-06,5.705661007006395e-16
48,3.591123208975399e-06,6.177400202986823e-16
49,3.6016285933135083e-06,6.005789804557961e-16
50,3.602997566909976e-06,6.140335751518017e-16
51,3.6122113544201133e-06,6.059574882399104e-16
52,3.615139767504731e-06,5.934465512274958e-16
53,3.623430135557873e-06,5.692595179701221e-16
54,3.625837241023372e-06,5.980966847973288e-16
55,3.6281078163017034e-06,6.231541416463587e-16
56,3.6362100567721007e-06,6.059574882399104e-16
57,3.6365076597278543e-06,6.532559227791253e-16
