,m_a [eV],G_ap[GeV^-1]
0,1.7500986193293885e-07,4.268562946484908e-12
1,1.7503944773175543e-07,2.231472552417465e-12
2,1.75069033530572e-07,3.2139732183655326e-12
3,1.7507889546351085e-07,1.6801656929748328e-12
4,1.7509861932938855e-07,1.5493189936177587e-12
5,1.7512820512820514e-07,2.1428211066419503e-12
6,1.7514792899408285e-07,3.77976490882236e-12
7,1.751577909270217e-07,2.1428211066419503e-12
8,1.7518737672583826e-07,2.1428211066419503e-12
9,1.7519723865877712e-07,1.0498488106413271e-10
10,1.7732741617357003e-07,1.0081406503468031e-10
11,1.7732741617357003e-07,6.098334856920577e-13
12,1.773570019723866e-07,5.400007539637679e-13
13,1.7738658777120315e-07,5.400007539637679e-13
14,1.77396449704142e-07,5.62341325190349e-13
15,1.77396449704142e-07,1.0081406503468031e-10
16,1.80069033530572e-07,1.0081406503468031e-10
17,1.80069033530572e-07,6.88696964849565e-13
18,1.800887573964497e-07,4.409264961028305e-13
19,1.8009861932938856e-07,4.781646484212349e-13
20,1.8011834319526627e-07,5.856061564648378e-13
21,1.80138067061144e-07,6.350631327313476e-13
