,m_a [eV],G_ap[GeV^-1]
0,1.7378597785977862e-05,1.0
1,1.7378597785977862e-05,2.596358392987303e-13
2,1.7407195571955723e-05,2.911309635722663e-13
3,1.743948339483395e-05,2.911309635722663e-13
4,1.7473616236162366e-05,2.697361947693768e-13
5,1.7503136531365317e-05,2.4991369477126347e-13
6,1.75289667896679e-05,2.596358392987303e-13
7,1.7555719557195573e-05,2.596358392987303e-13
8,1.757416974169742e-05,2.596358392987303e-13
9,1.7829704797047972e-05,1.0
10,2.1034482758620692e-05,1.0
11,2.1034482758620692e-05,4.284184167086886e-12
12,2.1065830721003138e-05,2.821950883690155e-12
13,2.1112852664576803e-05,3.1622776601683923e-12
14,2.1191222570532918e-05,3.0445035410462136e-12
15,2.128526645768025e-05,4.284184167086886e-12
16,2.133228840125392e-05,4.284184167086886e-12
17,2.133228840125392e-05,3.823116941463775e-12
18,2.1347962382445143e-05,4.284184167086886e-12
19,2.139498432601881e-05,3.971011080528315e-12
20,2.1426332288401257e-05,3.411670128561704e-12
21,2.1489028213166148e-05,2.821950883690155e-12
22,2.1489028213166148e-05,2.5182503390722473e-12
23,2.150470219435737e-05,2.821950883690155e-12
24,2.1536050156739813e-05,2.821950883690155e-12
25,2.1614420062695924e-05,3.2846077743643157e-12
26,2.1677115987460816e-05,3.2846077743643157e-12
27,2.170846394984326e-05,3.1622776601683923e-12
28,2.1724137931034484e-05,3.411670128561704e-12
29,2.1771159874608153e-05,3.0445035410462136e-12
30,2.181818181818182e-05,2.821950883690155e-12
31,2.1849529780564267e-05,2.931115736038611e-12
32,2.192789968652038e-05,3.5436477855785613e-12
33,2.1990595611285266e-05,3.680730889867662e-12
34,2.206896551724138e-05,3.0445035410462136e-12
35,2.211598746081505e-05,2.821950883690155e-12
36,2.2163009404388717e-05,2.821950883690155e-12
37,2.2194357366771163e-05,3.0445035410462136e-12
38,2.222570532915361e-05,3.1622776601683923e-12
39,2.224137931034483e-05,2.821950883690155e-12
40,2.224137931034483e-05,3.411670128561704e-12
