,m_a [eV],G_ap[GeV^-1]
0,1e-20,1.8973786087950878e-11
1,1.756877443467004e-08,1.8973786087950878e-11
2,2.356877443467004e-08,1.8973786087950878e-11
3,2.3639429971939607e-08,1.8973786087950878e-11
4,2.3710297323572264e-08,1.8973786087950878e-11
5,2.3781431883262242e-08,1.8973786087950878e-11
6,2.385272493464296e-08,1.8973786087950878e-11
7,2.3924231711555388e-08,1.8973786087950878e-11
8,2.399595285471563e-08,1.8973786087950878e-11
9,2.406788900676056e-08,1.8973786087950878e-11
10,2.4140040812253436e-08,1.8973786087950878e-11
11,2.4212408917690013e-08,1.8973786087950878e-11
12,2.428504988983342e-08,1.8973786087950878e-11
13,2.4357852710036884e-08,1.8973786087950878e-11
14,2.4430873781825368e-08,1.8973786087950878e-11
15,2.450411375948324e-08,1.8973786087950878e-11
16,2.457757329925651e-08,1.8973786087950878e-11
17,2.4651253059358313e-08,1.8973786087950878e-11
18,2.4725153699975147e-08,1.8973786087950878e-11
19,2.479927588327266e-08,1.8973786087950878e-11
20,2.487367754709461e-08,1.8973786087950878e-11
21,2.4948244981893997e-08,1.8973786087950878e-11
22,2.50230359583198e-08,1.8973786087950878e-11
23,2.509805114651511e-08,1.8973786087950878e-11
24,2.5173291218632207e-08,1.8973786087950878e-11
25,2.5248756848838168e-08,1.8973786087950878e-11
26,2.532444871332128e-08,1.8973786087950878e-11
27,2.540036749029694e-08,1.8973786087950878e-11
28,2.5476572521922144e-08,1.8973786087950878e-11
29,2.555294734252697e-08,1.8973786087950878e-11
30,2.5629551123020965e-08,1.8973786087950878e-11
31,2.570638454979049e-08,1.8973786087950878e-11
32,2.578344831127958e-08,1.8973786087950878e-11
33,2.586074309799596e-08,1.8973786087950878e-11
34,2.5938269602517607e-08,1.8973786087950878e-11
35,2.601608842368695e-08,1.8973786087950878e-11
36,2.609408062944725e-08,1.8973786087950878e-11
37,2.617230664376715e-08,1.8973786087950878e-11
38,2.6250767167568412e-08,1.8973786087950878e-11
39,2.6329462903874263e-08,1.8973786087950878e-11
40,2.6408394557815272e-08,1.8973786087950878e-11
41,2.6487562836636046e-08,1.8973786087950878e-11
42,2.6566968449701397e-08,1.8973786087950878e-11
43,2.664667346466501e-08,1.8973786087950878e-11
44,2.6726556066762544e-08,1.8973786087950878e-11
45,2.6806678144535263e-08,1.8973786087950878e-11
46,2.688704041589406e-08,1.8973786087950878e-11
47,2.696764360090223e-08,1.8973786087950878e-11
48,2.7048488421781494e-08,1.8973786087950878e-11
49,2.7129575602918838e-08,1.8973786087950878e-11
50,2.721090587087286e-08,1.8973786087950878e-11
51,2.7292542797709942e-08,1.8973786087950878e-11
52,2.7374361616086354e-08,1.8973786087950878e-11
53,2.745642571461451e-08,1.8973786087950878e-11
