,m_a [eV],G_ap[GeV^-1]
0,936378806.2038517,2.8240496557648414e-11
1,740514242.9787097,3.877899111368547e-11
2,598293174.8197473,4.962201102032964e-11
3,434481032.8636438,7.31071428159823e-11
4,336474627.50560844,8.413350011550851e-11
5,266162925.64248225,1.0030989800093079e-10
6,224482493.34137648,1.0386143658599254e-10
7,193426594.22247276,1.0021172528500825e-10
8,156308237.9532646,1.1534117858679322e-10
9,126312854.49793535,1.3275479930072367e-10
10,95773124.63888499,1.4234963356006297e-10
11,75784544.9410533,1.4224745459758763e-10
12,61249567.937678516,1.5255824244049435e-10
13,48453663.628951386,1.7557924306548878e-10
14,37523912.8699781,2.0206091631722005e-10
15,30975326.51273488,2.3258222117717818e-10
16,23978791.52860626,3.308336508643144e-10
17,15988300.36707492,5.612173299987744e-10
18,11124013.028166307,9.521583250470534e-10
19,7907140.773588788,1.505361975739792e-09
20,7907140.773588788,1.505361975739792e-09
21,5051886.606604267,2.74018768622685e-09
22,3368438.3297812757,4.648380879460385e-09
23,2343776.204839407,7.612765731875583e-09
24,1596368.8294885815,1.291493459521119e-08
25,1064269.3276591902,2.3511929971506685e-08
26,756352.9026669678,4.1326826937840386e-08
27,504114.7267971617,8.665177739893076e-08
28,343155.7918639683,2.0200552515975614e-07
29,301706.858747536,3.552961733059878e-07
30,288531.8766235777,1.099837677115982e-06
31,288099.00011514616,2.4779202753252543e-06
32,281499.42362648976,6.899883109304298e-06
33,293183.51291982236,1.9216805190548158e-05
34,292533.525477418,6.384848891874661e-05
35,284956.75415461016,0.0009348885396887601
36,2271.5056578035824,0.0017393879058258562
37,2310.6891030744664,1.6673021968723575e-15
38,923147888.9999089,6.228904220927971e-15
