,m_a [eV],G_ap[GeV^-1]
0,1.4019524134790529e-05,3.413045415614677e-11
1,1.698123007741348e-05,3.394174577369414e-11
2,1.699012408925319e-05,9.249919775244052e-12
3,2.008524020947177e-05,8.97502295817224e-12
4,2.0094134221311475e-05,3.855187461255979e-12
5,2.3207038365209477e-05,3.801771435346594e-12
6,2.3215932377049185e-05,4.582879498689348e-12
7,2.6213214367030967e-05,4.594415882955745e-12
8,2.622210837887068e-05,9.468380305803436e-12
9,2.9335012522768673e-05,9.56758301799198e-12
10,2.9335012522768673e-05,1.25097524655158e-11
11,3.2003216074681244e-05,1.2548971304086185e-11
