,m_a [eV],G_ap[GeV^-1]
0,6.616636041526282e-06,1.0521123354885552e-14
1,6.619409359685749e-06,1.052576765060937e-14
2,6.622089382922703e-06,1.055833517452246e-14
3,6.624768200444675e-06,1.0538782588121572e-14
4,6.627445523447078e-06,1.0460933659644826e-14
5,6.630126507675396e-06,1.0441561447469923e-14
6,6.632812016784324e-06,1.0499785974378707e-14
7,6.635496032342362e-06,1.0499785974378707e-14
8,6.638183142502167e-06,1.0545296090417648e-14
9,6.640869905613389e-06,1.055833517452246e-14
10,6.643555746053603e-06,1.052576765060937e-14
11,6.646251291053168e-06,1.0689616056695239e-14
12,6.648946780165667e-06,1.082921813937489e-14
13,6.65163444967853e-06,1.0762515029985936e-14
14,6.654330396257906e-06,1.0862724562129168e-14
15,6.657032902629643e-06,1.1093334110363367e-14
16,6.659733340108887e-06,1.1252104447252098e-14
17,6.662428249575929e-06,1.1252104447252098e-14
18,6.6651225210031575e-06,1.1210468331576036e-14
19,6.667821916913485e-06,1.1266017488193374e-14
20,6.670509719765291e-06,1.1018194362380388e-14
21,6.6731991829549175e-06,1.0789146828159642e-14
22,6.675909929576563e-06,1.1031818177372674e-14
23,6.678618313231756e-06,1.119662389142391e-14
24,6.68131682154606e-06,1.1100190353633904e-14
25,6.6840250874748085e-06,1.1210468331576036e-14
26,6.686728092616096e-06,1.116898628184708e-14
27,6.689425540557874e-06,1.0970643369058616e-14
28,6.692123498139987e-06,1.0762515029985936e-14
29,6.6948242801106715e-06,1.0597549242273298e-14
30,6.697532810394891e-06,1.0584461730502661e-14
31,6.700251704010505e-06,1.0782482706826741e-14
32,6.702970252731555e-06,1.0950327244517987e-14
33,6.705685266939768e-06,1.1011388765490304e-14
34,6.708398191261892e-06,1.0997790179931954e-14
35,6.7111165643588535e-06,1.1086482101981674e-14
36,6.713832846816426e-06,1.1100190353633904e-14
37,6.7165528415104235e-06,1.1175889281997602e-14
38,6.719273066864831e-06,1.1231267095457463e-14
39,6.721991488413775e-06,1.1217396969737724e-14
40,6.72471653245142e-06,1.1335841167398382e-14
41,6.7274426812011156e-06,1.1455536014206727e-14
42,6.730162662515071e-06,1.1399052401887149e-14
43,6.732885198654883e-06,1.1377942922665988e-14
44,6.735601557662663e-06,1.1182796548552376e-14
45,6.738315517502302e-06,1.0909807793780546e-14
46,6.741036689715899e-06,1.0782482706826741e-14
47,6.743759252327283e-06,1.0663229939061425e-14
48,6.746489038318018e-06,1.0683013412432579e-14
49,6.749224305202978e-06,1.0802487429666303e-14
50,6.751961264754265e-06,1.0936804067278736e-14
51,6.754675685141278e-06,1.0532273109013785e-14
52,6.7574060929048645e-06,1.0467399047353648e-14
53,6.760144032754785e-06,1.0545296090417648e-14
54,6.76288278963469e-06,1.0617210858353244e-14
55,6.765613882989276e-06,1.0493300582269654e-14
56,6.7683472494733185e-06,1.0396499016882136e-14
57,6.7710925491465505e-06,1.0538782588121572e-14
58,6.773836327213662e-06,1.0623772833299167e-14
59,6.776569793630269e-06,1.0454472265405447e-14
60,6.779308758508605e-06,1.0383659793383735e-14
61,6.78204824413342e-06,1.0300590453938268e-14
62,6.784792062684827e-06,1.0287869673338058e-14
63,6.787538751606929e-06,1.0313326963573136e-14
64,6.790282736940893e-06,1.0256136408949021e-14
65,6.793028418822493e-06,1.0211874213361491e-14
66,6.795775210933106e-06,1.0167803039215185e-14
67,6.7985245830141845e-06,1.0155246245289013e-14
68,6.8012780071857306e-06,1.0205566655416637e-14
69,6.804030193730372e-06,1.0205566655416637e-14
70,6.806783493967302e-06,1.0205566655416637e-14
71,6.80952996131833e-06,1.0036727419324416e-14
72,6.812282248090267e-06,9.968744506220108e-15
73,6.815035352713679e-06,9.895106391800479e-15
74,6.817794285033798e-06,9.919591790947425e-15
75,6.820552270578217e-06,9.901222069552097e-15
76,6.8221668448037946e-06,9.999588558251886e-15
