,m_a [eV],G_ap[GeV^-1]
0,3.6216e-13,8.8297e-11
1,0.0036216,8.8297e-11
2,0.0045964,8.8297e-11
3,0.0058896,8.8297e-11
4,0.0078398,8.8297e-11
5,0.0099504,8.9881e-11
6,0.012215,9.231e-11
7,0.014434,9.5652e-11
8,0.016815,1.0089e-10
9,0.019589,1.0833e-10
10,0.021759,1.1788e-10
11,0.040482,2.0006e-10
12,0.040882,2.327e-10
13,0.043691,2.0185e-10
14,0.044962,2.0915e-10
15,0.047163,2.2061e-10
16,0.048073,2.2658e-10
17,0.050413,2.1102e-10
18,0.05042,2.2457e-10
19,0.053893,2.129e-10
20,0.056533,2.286e-10
21,0.057615,2.1672e-10
22,0.059283,2.0915e-10
23,0.06338,2.1866e-10
24,0.067101,2.0185e-10
25,0.069717,2.129e-10
26,0.073125,2.1866e-10
27,0.073811,1.9829e-10
28,0.075961,2.0915e-10
29,0.079656,1.9307e-10
30,0.083566,2.1672e-10
31,0.087636,2.0547e-10
32,0.088463,1.9136e-10
33,0.093682,2.0185e-10
34,0.095501,2.1866e-10
35,0.098279,2.2658e-10
36,0.10014,1.9829e-10
37,0.10209,2.1672e-10
38,0.1071,2.4545e-10
39,0.11019,2.2658e-10
40,0.1123,2.0915e-10
41,0.11779,2.1866e-10
42,0.12004,2.0547e-10
43,0.12712,2.1102e-10
44,0.13335,2.3478e-10
45,0.13461,2.1866e-10
46,0.13848,1.9307e-10
47,0.13982,2.0185e-10
48,0.14256,2.3899e-10
49,0.14667,2.1481e-10
50,0.1481,2.3899e-10
51,0.15237,2.1672e-10
52,0.15532,2.3064e-10
53,0.1598,2.1102e-10
54,0.16451,2.6121e-10
55,0.16605,2.3478e-10
56,0.17252,2.4764e-10
57,0.17411,2.073e-10
58,0.17578,2.0547e-10
59,0.17753,2.4764e-10
60,0.19149,1.8967e-10
61,0.1916,2.4985e-10
62,0.19325,1.5737e-10
63,0.19703,1.8142e-10
64,0.20651,1.3057e-10
65,0.21071,2.1672e-10
66,0.22106,2.4985e-10
67,0.22303,1.7822e-10
68,0.22963,2.3687e-10
69,0.24069,1.7508e-10
70,0.24556,2.7552e-10
71,0.25495,2.0547e-10
72,0.27512,1.9136e-10
73,0.28572,1.6306e-10
74,0.29698,2.0915e-10
75,0.31143,1.9479e-10
76,0.32358,2.073e-10
77,0.33608,1.8632e-10
78,0.34925,2.1481e-10
79,0.36622,1.9136e-10
80,0.39157,2.1102e-10
81,0.39891,1.6452e-10
82,0.41481,2.6121e-10
83,0.42652,1.7982e-10
84,0.45631,2.6121e-10
85,0.46929,2.0006e-10
86,0.50673,2.5208e-10
87,0.52613,1.9307e-10
88,0.55216,2.589e-10
89,0.57332,2.0006e-10
90,0.6017,2.7308e-10
91,0.61877,2.0185e-10
92,0.65507,1.8304e-10
93,0.65659,5.6109e-10
94,0.6624,3.9669e-10
95,0.66969,7.7964e-10
96,0.67013,1.0737e-09
97,0.68997,1.4144e-09
98,0.74531,2.1672e-09
99,0.78954,2.6827e-09
100,0.81214,2.2258e-09
101,0.83533,1.7982e-09
102,0.85793,7.1332e-10
103,0.8582,8.297e-10
104,0.85866,1.0737e-09
105,0.85915,1.4144e-09
106,0.87401,5.6109e-10
107,0.93456,6.2984e-10
108,0.96141,5.512e-10
109,0.98964,6.4686e-10
110,1.001,1.5877e-09
111,1.0091,7.866e-10
112,1.0097,1.0548e-09
113,1.0311,2.589e-09
114,1.0618,3.7276e-09
115,1.0931,4.5733e-09
116,1.169,5.6109e-09
117,193.42,1.3977e-06
