,m_a [eV],G_ap[GeV^-1]
0,0.010818233061020161,3.7858671758645777e-07
1,0.012523931843089505,3.5661805239969764e-07
2,0.01449936569943556,3.5149971245021655e-07
3,0.016785731946394697,3.3546663080715387e-07
4,0.01943339113249561,3.306518654114473e-07
5,0.02249773553793678,3.149346887232217e-07
6,0.026045758232586924,3.045308213932612e-07
7,0.030153435416141003,2.9536175198614436e-07
8,0.034908335647543774,2.824577136543659e-07
9,0.0404140767679193,2.7589151863386347e-07
10,0.04678663527190176,2.622485166986393e-07
11,0.054165887640854726,2.564102406879161e-07
12,0.06270731544578637,2.452079521307551e-07
13,0.07259670983222113,2.373464393054659e-07
14,0.0840454238583895,2.290438549999778e-07
15,0.09729820302913521,2.183763395180586e-07
16,0.11264489934416443,2.1459272048801047e-07
17,0.13040613455549055,2.0295632882677055e-07
18,0.15097433916284908,1.9883816910521174e-07
19,0.17478193605874714,1.905345640181148e-07
20,0.20234332854160497,1.8221031315934483e-07
21,0.23425719620498833,1.7815387801295688e-07
22,0.27119459397938256,1.690032825701147e-07
23,0.3139685471863455,1.655740595687196e-07
24,0.3634774087306546,1.5802167098628347e-07
25,0.4207993775638223,1.5264760308479996e-07
26,0.4871606733753255,1.47307857532472e-07
27,0.5639804297116592,1.407303220578686e-07
28,0.6529321976215918,1.3759733021640894e-07
29,0.7558996674807624,1.3251684886147107e-07
30,0.8751061894167433,1.2775255907899075e-07
31,1.0131080362782316,1.2278798434208344e-07
32,1.172886767190489,1.1921098796989074e-07
33,1.357864432409611,1.1573819481526233e-07
34,1.5720017091034706,1.1157713677820142e-07
35,1.8199578172413742,1.0997573238272065e-07
36,2.106936940821972,1.0474815559247522e-07
37,2.4392339735821538,1.0200443352225868e-07
38,2.8239360050649327,9.923258310151844e-08
39,3.2693070348637603,9.643887358997921e-08
40,3.7849141668652133,9.362946595275771e-08
41,4.381757909526573,8.953889495121852e-08
42,5.072898294785461,8.816494986446376e-08
43,5.872988388424762,8.602871970138617e-08
44,6.799159217603055,8.285229683224559e-08
45,7.871319762196245,7.92325687970146e-08
46,9.112616474089032,7.623026221010076e-08
47,10.54968988785701,7.348960649361131e-08
48,12.05196913146532,7.151893252446117e-08
49,14.328727800694274,6.720633949423843e-08
50,16.58885736170772,6.630851581889884e-08
51,19.077798616127367,6.47550672358658e-08
52,23.98928715332455,1.697311104481866e-12
53,24.103911729247443,2.2224823962606753e-12
54,24.356791737798346,1.29139662135819e-12
55,25.006388740068825,9.989954002426746e-13
56,25.96996659320342,7.40372731556255e-13
57,27.00580864254329,5.354229944437086e-13
58,27.941226515373533,4.016927736312577e-13
59,30.156009873441093,3.168343476094869e-13
60,34.44079071878204,2.46118058593841e-13
61,39.86512107625389,2.0523628789779e-13
62,46.14224209345829,1.665538214434654e-13
63,53.408799186555036,1.3735791852072092e-13
64,61.82038751265462,1.1431139909905352e-13
65,71.55754324117137,9.599798546340633e-14
66,82.8310097848979,8.275752665233914e-14
67,95.87725470317973,6.935938770471878e-14
68,110.98296346562465,6.015547037464019e-14
69,128.46468038866493,5.08756082966824e-14
70,148.70024923800472,4.307065916438181e-14
71,172.12603707026713,3.6943651932002674e-14
72,199.24249684459159,3.172017282466824e-14
73,230.63140537347476,2.7290160946488336e-14
74,266.96470702238577,2.3431593152428568e-14
75,309.0230346554656,2.0179471395713456e-14
76,357.7060278342013,1.7326287107745024e-14
77,414.05947634913167,1.4906512848748224e-14
78,479.2897420643367,1.279887447634356e-14
79,554.797638776874,1.1011394746301227e-14
80,642.2011426046299,9.473552888027795e-15
81,743.3733913075972,8.142279766894782e-15
82,860.4842972762611,6.998084096428798e-15
83,996.0448336153073,6.014676776374922e-15
84,1152.9445992749272,5.107359681444305e-15
85,1334.5351264130666,4.271883109532658e-15
86,1544.7756495131796,3.66787968797894e-15
87,1788.1437003371452,3.1588066916746566e-15
88,2069.8602075339186,2.72862129156544e-15
89,2395.960278765392,2.3570211410553326e-15
90,2773.443203739121,2.040133199433782e-15
91,3210.414201028636,1.77297752678038e-15
92,3716.23689896526,1.5423585803118925e-15
93,4301.808129051486,1.3553193296683513e-15
94,4979.654515288581,1.1921621419034567e-15
95,5764.3037449256435,1.0475906288237092e-15
