,m_a [eV],G_ap[GeV^-1]
0,7.888495687251501e-13,9.678364804592461e-08
1,1.3702244491612156e-12,9.678364804592461e-08
2,1.6351054052108857e-12,9.678364804592461e-08
3,1.9511910532515114e-12,9.678364804592461e-08
4,2.328379879459658e-12,9.678364804592461e-08
5,2.7784838670914876e-12,9.678364804592461e-08
6,3.3155983986080586e-12,9.678364804592461e-08
7,3.9565436643546105e-12,9.678364804592461e-08
8,4.7213914008754636e-12,9.678364804592461e-08
9,5.634093454115096e-12,9.678364804592461e-08
10,6.723231851486962e-12,9.678364804592461e-08
11,8.022913871943986e-12,9.678364804592461e-08
12,9.573840143917587e-12,9.678364804592461e-08
13,1.1424579219504784e-11,9.678364804592461e-08
14,1.3633088539258994e-11,9.678364804592461e-08
15,1.626852941786775e-11,9.678364804592461e-08
16,1.9413432888510747e-11,9.678364804592461e-08
17,2.3166284231123026e-11,9.678364804592461e-08
18,2.7644607121226625e-11,9.678364804592461e-08
19,3.298864398202744e-11,9.678364804592461e-08
20,3.936574779307856e-11,9.678364804592461e-08
21,4.697562288866884e-11,9.678364804592461e-08
22,5.6056578865915006e-11,9.678364804592461e-08
23,6.689299344891762e-11,9.678364804592461e-08
24,7.982421801480544e-11,9.678364804592461e-08
25,9.525520466565833e-11,9.678364804592461e-08
26,1.1366918764194514e-10,9.678364804592461e-08
27,1.3564281620653408e-10,9.678364804592461e-08
28,1.6186421289818598e-10,9.678364804592461e-08
29,1.931545226638194e-10,9.678364804592461e-08
30,2.3049362769864026e-10,9.678364804592461e-08
31,2.750508332758323e-10,9.678364804592461e-08
32,3.282214855182147e-10,9.678364804592461e-08
33,3.916706678279654e-10,9.678364804592461e-08
34,4.673853443646398e-10,9.678364804592461e-08
35,5.577365834880516e-10,9.678364804592461e-08
36,6.655538097451274e-10,9.678364804592461e-08
37,7.942134096637447e-10,9.678364804592461e-08
38,9.477444661180217e-10,9.678364804592461e-08
39,1.1309549324250516e-09,9.678364804592461e-08
40,1.3495821974203732e-09,9.678364804592461e-08
41,1.6104727565832565e-09,9.678364804592461e-08
42,1.9217966157632938e-09,9.678364804592461e-08
43,2.293303141740126e-09,9.678364804592461e-08
44,2.7366263717902757e-09,9.678364804592461e-08
45,3.265649343285409e-09,9.678364804592461e-08
46,3.89693885260772e-09,9.678364804592461e-08
47,4.650264258221169e-09,9.678364804592461e-08
48,5.549216574650248e-09,9.678364804592461e-08
49,6.621947244811493e-09,9.678364804592461e-08
50,7.902049725970604e-09,9.678364804592461e-08
51,9.429611496925991e-09,9.678364804592461e-08
52,1.1252469430902943e-08,9.678364804592461e-08
53,1.3427707847208983e-08,9.678364804592461e-08
54,1.6023446154390403e-08,9.678364804592461e-08
55,1.9120972066428758e-08,9.678364804592461e-08
56,2.2817287195424666e-08,9.678364804592461e-08
57,2.7228144738131387e-08,9.678364804592461e-08
58,3.2491674384029915e-08,9.678364804592461e-08
59,3.877270796197027e-08,9.678364804592461e-08
60,4.626794128661873e-08,9.678364804592461e-08
61,5.521209385224533e-08,9.678364804592461e-08
62,6.588525926980838e-08,9.678364804592461e-08
63,7.862167663241647e-08,9.678364804592461e-08
64,9.382019749180618e-08,9.678364804592461e-08
65,1.1195677622794767e-07,9.678364804592461e-08
66,1.3359937495814174e-07,9.678364804592461e-08
67,1.5942574974528974e-07,9.678364804592461e-08
68,1.9024467509530646e-07,9.678364804592461e-08
69,2.2702127140655407e-07,9.678364804592461e-08
70,2.7090722852152934e-07,9.678364804592461e-08
71,3.232768718565867e-07,9.678364804592461e-08
72,3.8577020055068336e-07,9.678364804592461e-08
73,4.6034424540872807e-07,9.678364804592461e-08
74,5.493343549564521e-07,9.678364804592461e-08
75,6.555273288308176e-07,9.678364804592461e-08
76,7.822486887391782e-07,9.678364804592461e-08
77,9.334668199502154e-07,9.536614104176041e-08
78,1.1139172445944534e-06,9.396939504575638e-08
79,1.3292509184965735e-06,9.396939504575638e-08
80,1.5862111955787732e-06,9.396939504575638e-08
81,1.8928450016233197e-06,9.123697425700859e-08
82,2.2587548304770847e-06,8.858400618116958e-08
83,2.695399454169812e-06,8.60081805102463e-08
84,3.2164527639347202e-06,8.107904909083367e-08
85,3.8382319795378075e-06,7.587062184127562e-08
86,4.580208636648802e-06,6.79227569346681e-08
87,5.465618354250294e-06,5.991687971114732e-08
88,6.165053122009532e-06,5.223395588125023e-08
89,7.283910837344949e-06,4.44106378523119e-08
90,7.6045997623284105e-06,7.120659129210651e-08
91,7.421928989523554e-06,5.5986742717055133e-08
92,7.791977692119388e-06,8.689243397324286e-08
93,7.930481575896685e-06,1.1283271058092987e-07
94,8.134594280698523e-06,1.3790774921116916e-07
95,8.886135226355952e-06,1.8799747559909575e-07
96,9.707109726227616e-06,2.525268645693425e-07
97,1.060393262501183e-05,3.245187690429603e-07
98,1.158361142369492e-05,4.109266190955188e-07
99,1.2653801034029652e-05,5.052114365200987e-07
100,1.3822863591684218e-05,6.211293786528142e-07
101,1.5099933795423433e-05,7.636440451210625e-07
102,1.649499028286298e-05,9.388579057613995e-07
103,1.8018933600504196e-05,1.1373679534347418e-06
104,2.0123353715347838e-05,1.4616157723536036e-06
105,2.2473547754328494e-05,1.9062209258850258e-06
106,2.4549839545750833e-05,2.3092680798273246e-06
107,2.6817956306254655e-05,2.8813169170594326e-06
108,2.9295620409407882e-05,3.5424189894081567e-06
109,3.200219156789188e-05,4.355207239516804e-06
110,3.49588181044004e-05,5.514844616454366e-06
111,3.8188602198191874e-05,6.983252339332992e-06
112,4.171678039848191e-05,8.842645011121362e-06
113,4.55709208151526e-05,1.13635603839092e-05
114,4.978113852756674e-05,1.5040497936661045e-05
115,5.438033089462581e-05,1.9615628433200624e-05
116,5.940443460471295e-05,2.5962709662160504e-05
117,6.489270647403073e-05,3.591874403815015e-05
118,7.088803018740625e-05,4.896485690243868e-05
119,7.743725137834447e-05,6.97703934724399e-05
120,8.459154366653905e-05,9.941635926759214e-05
121,9.240680851295171e-05,0.00013958435975870104
122,0.00010094411201680209,0.000210986445310859
123,0.00010946113015533797,0.00030812069481094933
124,0.0001152514832444246,0.00040983079171852296
125,0.00012045782957961696,0.0005344961692551272
126,0.00012589936631235486,0.0006970831882847368
127,0.00013158671788433683,0.0008826917427147368
128,0.00013753098868356098,0.001151195480300062
129,0.00014374378472532253,0.0015463387698168162
130,0.00015023723631261537,0.002077113428568467
131,0.00015702402172019947,0.002831545604488979
132,0.00016411739194855768,0.00397559801266026
133,0.00017153119659609237,0.005581891223369751
134,0.0001792799109000571,0.007609300166703555
135,0.0001887635877487984,0.010949725982359423
136,0.0001972907544769651,0.01591232491926211
137,0.00020620312564671465,0.02358347128845282
138,0.00021551810240271244,0.03564720849701928
139,0.0002236012257069106,0.05180311954683513
140,0.00023542944314042415,0.08555007220085349
141,0.00022859589910031395,0.0636890559683977
142,0.0002442593520767364,0.12555170645004093
143,0.0002552934728248771,0.20131286516500452
144,0.00024971547461385854,0.15435884419653687
145,0.0002668260466297754,0.3373989877844932
146,0.0002609960690973103,0.2625497093599805
147,0.00027887959050529104,0.5409942951408329
148,0.0002727862507903526,0.42097901919420405
149,0.00028510903967872946,0.6750086870548545
