,m_a [eV],G_ap[GeV^-1]
0,4.073015225913395e-21,6.380842850117623e-13
1,1.526463855890288e-17,6.380842850117623e-13
2,1.9074265388690113e-17,7.988017808015734e-13
3,6.14673573740409e-14,7.988017808015734e-13
4,8.035224232991493e-14,6.380842850117623e-13
5,1.0079491537107784e-13,6.309573444801969e-13
6,1.25927317467839e-13,7.988017808015734e-13
7,2.4842878722268345e-13,7.988017808015734e-13
8,3.127245204542651e-13,6.380842850117623e-13
9,2.493453534126446e-12,6.380842850117623e-13
10,3.2356088721260897e-12,7.988017808015734e-13
11,4.9009907907151e-12,7.988017808015734e-13
12,6.349198609025963e-12,3.4986656331852393e-13
13,1.1243451222806487e-11,2.5402592928068377e-12
14,1.2539513511031335e-11,3.2706505618894704e-12
15,1.3736144602400887e-11,3.981071705534986e-12
16,1.5562636251907566e-11,1.9619273742801197e-11
