,m_a [eV],G_ap[GeV^-1]
0,1e-20,4.356166186781695e-11
1,1.084173192609719e-06,4.356166186781695e-11
2,1.2273894888942075e-06,4.356166186781695e-11
3,1.3895242639432136e-06,4.356166186781695e-11
4,1.573076596758561e-06,4.356166186781695e-11
5,1.7808756878034812e-06,4.356166186781695e-11
6,2.016124467139532e-06,4.394461498126755e-11
7,2.282448963078442e-06,4.436975292372777e-11
8,2.5839541922970515e-06,4.4408605180664764e-11
9,2.925287432882697e-06,4.4583861775556214e-11
10,3.311709855573822e-06,4.507432313153991e-11
11,3.749177617290428e-06,4.55701799901143e-11
12,4.244433666896819e-06,4.605133375398715e-11
13,4.8051116782530496e-06,4.655793858134693e-11
14,5.439853712536563e-06,4.71938752788861e-11
15,6.15844342343284e-06,4.8237934204007486e-11
16,6.971956858365293e-06,4.952133834117195e-11
17,7.892933180152797e-06,5.1173717076513596e-11
18,8.935567940528535e-06,5.3322771865073575e-11
19,1.0115931884559003e-05,5.592801282262893e-11
20,1.145221865852486e-05,5.956596780999071e-11
21,1.2965025239331421e-05,6.416653790125211e-11
22,1.4677669407872834e-05,7.012793206245266e-11
23,1.6616549159754317e-05,7.762207220986321e-11
24,1.870575798543428e-05,8.542591332091535e-11
25,2.047215128009492e-05,9.524426763158603e-11
26,2.2405345902659603e-05,1.0863853893201377e-10
27,2.424606709987131e-05,1.223358818656995e-10
28,2.6535634321924264e-05,1.356760940732394e-10
29,2.9536934962912785e-05,1.5123019481938984e-10
30,3.343868281816248e-05,1.6709846745193687e-10
31,3.78558408317465e-05,1.7742338146544755e-10
32,4.2856493267735574e-05,1.8302280109194256e-10
33,4.8517718134190714e-05,1.8568516914158026e-10
34,5.49267752320034e-05,1.8822145010340977e-10
35,6.218245114171929e-05,1.9221711425625607e-10
36,7.039658187942146e-05,1.9664152593723503e-10
37,7.969577669126716e-05,2.0099177984181553e-10
38,9.022336955654072e-05,2.052585392854894e-10
39,0.0001021416284788916,2.1035103901039628e-10
40,0.00011563425661886721,2.1727471594389218e-10
41,0.00013090922381917298,2.2749173216838357e-10
42,0.00014820197216663017,2.374606300569098e-10
43,0.00016777904500004986,2.4689202580860274e-10
44,0.00018994219530006425,2.580496325954187e-10
45,0.0002150330367859528,2.717255443576987e-10
46,0.0002434383094095643,2.8712974120697806e-10
47,0.00027559584040650123,3.032744545863969e-10
48,0.0003120012927857674,3.2257778873879127e-10
49,0.00035321580527633323,3.449163845586528e-10
50,0.00039987464148962595,3.7204409329172917e-10
51,0.00045269698161259133,4.014810616363913e-10
52,0.0005124970075564732,4.336265210759623e-10
53,0.0005801964524232525,4.745352129737503e-10
54,0.0006568388077220794,5.229522462335265e-10
55,0.0007436054073199158,5.712870723462556e-10
56,0.0008418336360378097,6.276500329696682e-10
57,0.0009476778907777884,6.954836247920795e-10
58,0.0010608304139114065,7.690985284259812e-10
59,0.001187493322394418,8.492779525296521e-10
60,0.0013218042051279485,9.436530867301404e-10
61,0.0014630319873540157,1.049637828018714e-09
62,0.001628507543286146,1.1702770543697997e-09
63,0.0018229509710142408,1.3041538823562285e-09
64,0.0020291349970457963,1.446056943531186e-09
65,0.0022459373300678306,1.5964684702865459e-09
66,0.002499963032509144,1.7713144226154357e-09
67,0.002798458046080701,1.974898931352334e-09
68,0.003114976348435423,2.1900190409610376e-09
69,0.003467294306913582,2.4314310601110415e-09
70,0.0038812884531230084,2.7108855101964455e-09
71,0.004320279787601675,3.0042456140152074e-09
72,0.004781878813109411,3.3185065828015036e-09
73,0.005322731003518756,3.6819509317371735e-09
74,0.005958263866394131,4.103157098005275e-09
75,0.00663217054389955,4.549858930417057e-09
76,0.00738229912432338,5.0541054388366945e-09
77,0.008310480080312812,5.634748126262237e-09
78,0.009302749498740725,6.175036597247799e-09
