,m_a [eV],G_ap[GeV^-1]
0,1.0685868420189637e-20,5.558459596421295e-13
1,4.51246218162237e-07,5.585282270060484e-13
2,5.830153498614336e-07,5.558459596421295e-13
3,6.983229757584323e-07,5.558459596421295e-13
4,8.364359164608874e-07,5.558459596421295e-13
5,1.001864562147503e-06,5.558459596421295e-13
6,1.2000113590697817e-06,5.558459596421295e-13
7,1.4373472386425137e-06,5.558459596421295e-13
8,1.7023134069855122e-06,5.558459596421295e-13
9,2.146886583949207e-06,5.619958841377023e-13
10,2.456074093078523e-06,5.666529398698554e-13
11,2.925287432882697e-06,5.676457506554614e-13
12,3.5038450112246714e-06,5.764073809377366e-13
13,4.196828566205487e-06,5.858167673810429e-13
14,4.97048823207032e-06,5.945985955060819e-13
15,5.718480871076375e-06,6.061590200330588e-13
16,6.309105468352373e-06,6.175193881455417e-13
17,7.171351248626733e-06,6.342184923515033e-13
18,8.073009599987066e-06,6.642160480591879e-13
19,2.1296503545624435e-05,1.329428495671971e-12
20,2.343935942179506e-05,1.496616329103683e-12
21,2.6090457322962264e-05,1.6918605879007124e-12
22,2.920565195241616e-05,1.9092539706974807e-12
23,3.325063174885626e-05,2.11914963363151e-12
24,3.87195177603613e-05,2.270864881572167e-12
25,4.5857223935482264e-05,2.3517772810940996e-12
26,5.275812870529507e-05,2.3803260506340456e-12
27,5.767811095588609e-05,2.4152286256815807e-12
28,6.616216451463139e-05,2.473274019805881e-12
29,7.791808400247126e-05,2.5478707406631574e-12
30,9.332856896295002e-05,2.628280646692482e-12
31,0.00011053311957550956,2.735062827101928e-12
32,0.00013090922381917298,2.8712043341769475e-12
33,0.00015504153819915613,3.044614438537078e-12
34,0.0001836224970699108,3.2313248963714083e-12
35,0.0002150330367859528,3.4596341468956443e-12
36,0.00025181667631817483,3.705695963509684e-12
37,0.0002932341359617056,3.9795205803007825e-12
38,0.0003433948876163225,4.318890574406706e-12
39,0.0003976258431643605,4.714356863229513e-12
40,0.0004578319746322864,5.1716969736931675e-12
41,0.0005271541591149951,5.671583207855238e-12
42,0.0006001649560218287,6.290045447973567e-12
43,0.0007648721405771307,7.426462823913747e-12
44,0.0009007772363230236,8.509452249820362e-12
45,0.001019767431287197,9.470240576506333e-12
46,0.001154475903675218,1.0539509940701564e-11
47,0.0013069789946952629,1.1855660778376183e-11
48,0.0014630319873540157,1.334330484759565e-11
49,0.0016377176715989333,1.4969499144621353e-11
50,0.0018540556708087034,1.6838857297857476e-11
51,0.002075429493310794,1.8820467142100932e-11
52,0.0023495880200643353,2.1193385584780258e-11
53,0.002630128291586973,2.3674773072977046e-11
54,0.00297756100366818,2.6645475120759062e-11
55,0.0033330811056226568,2.9765210205897577e-11
56,0.0037521514189365595,3.3388333379160355e-11
57,0.004223911697461557,3.7462493193400414e-11
58,0.004781878813109411,4.214072700837716e-11
59,0.00535283404830904,4.71250802865404e-11
60,0.006059928700943834,5.2953278741405835e-11
61,0.006783482800068011,5.921652731876807e-11
62,0.007679562217228987,6.664699596259176e-11
63,0.008645118242571057,7.40808065044838e-11
