,m_a [eV],G_ap[GeV^-1]
0,1e-20,3.752116801480979e-11
1,2.1887945922436222e-11,3.752116801480979e-11
2,2.2928969569105158e-11,3.752640388860726e-11
3,2.4019505867018952e-11,3.7531640493041975e-11
4,2.5161909712381105e-11,3.75368778282165e-11
5,2.6358648003802483e-11,3.754211589423221e-11
6,2.7612304969303936e-11,3.754735469119154e-11
7,2.8925587746680248e-11,3.755259421919632e-11
8,3.030133222927351e-11,3.75578344783486e-11
9,3.1742509189780965e-11,3.756307546875037e-11
10,3.3252230695319566e-11,3.756831719050369e-11
11,3.483375682760203e-11,3.757355964371062e-11
12,3.64905027227332e-11,3.7578802828473225e-11
13,3.822604594583057e-11,3.758404674489359e-11
14,4.0044134216391935e-11,3.7589291393073804e-11
15,4.1948693501094735e-11,3.7594536773115995e-11
16,4.39438364914995e-11,3.759978288512228e-11
17,4.603387148496665e-11,3.760502972919481e-11
18,4.822331168796196e-11,3.761027730543574e-11
19,5.051688496184307e-11,3.761552561394723e-11
20,5.291954403216868e-11,3.762077465483147e-11
21,5.543647718357761e-11,3.762602442819067e-11
22,5.807311946333447e-11,3.7631274934127016e-11
23,6.083516441773064e-11,3.763652617274276e-11
24,6.372857638668718e-11,3.764177814414013e-11
25,6.675960338310761e-11,3.764703084842139e-11
26,6.993479058479085e-11,3.7652284285688804e-11
27,7.326099446804241e-11,3.7657538456044656e-11
28,7.674539761349903e-11,3.766279335959125e-11
29,8.039552421614049e-11,3.766804899643089e-11
30,8.421925633298372e-11,3.767330536666591e-11
31,8.822485090353857e-11,3.7678562470398657e-11
32,9.24209575797836e-11,3.7683820307731474e-11
33,9.681663740416253e-11,3.768907887876674e-11
34,1.0142138237593223e-10,3.769433818360683e-11
35,1.0624513594811969e-10,3.769959822235415e-11
36,1.1129831449934154e-10,3.7704858995111114e-11
37,1.165918298268554e-10,3.771012050198014e-11
38,1.221371127094187e-10,3.771538274306353e-11
39,1.2794613759082804e-10,3.7720645718464185e-11
40,1.3403144843744747e-10,3.772590942828397e-11
41,1.4040618582555688e-10,3.7731173872625974e-11
42,1.4708411531702049e-10,3.773643905159209e-11
43,1.540796571845397e-10,3.7741704965285297e-11
44,1.6140791755068696e-10,3.7746971613807953e-11
45,1.6908472100795503e-10,3.775223899726261e-11
46,1.7712664479027167e-10,3.7757507115751825e-11
47,1.855510545697563e-10,3.776277596937816e-11
48,1.9437614195602813e-10,3.776804555824421e-11
49,2.0362096377903364e-10,3.775929234743963e-11
50,2.6909131061113623e-10,3.780495327563847e-11
51,2.8188969829228475e-10,3.7810228750116944e-11
52,2.952967965515068e-10,3.7815504960759025e-11
53,3.0934155657992923e-10,3.7820781907667454e-11
54,3.2405430653089716e-10,3.782605959094496e-11
55,3.394668170103647e-10,3.7831338010694305e-11
56,3.5561236968212006e-10,3.7836617167018255e-11
57,3.7252582913596434e-10,3.7841897060019603e-11
58,3.902437181740567e-10,3.784717768980114e-11
59,4.088042966779906e-10,3.785245905646569e-11
60,4.282476442268995e-10,3.785774116011607e-11
61,4.486157466450202e-10,3.786302400085513e-11
62,4.699525866655737e-10,3.799507198237771e-11
63,4.923042389067558e-10,3.845460172301268e-11
64,5.15718969364946e-10,3.8963068827641805e-11
65,5.402473396399436e-10,3.9536939622371886e-11
66,5.659423161173237e-10,4.011926272075667e-11
67,5.92859384343669e-10,4.075553786341561e-11
68,6.210566688416495e-10,4.1432662531647014e-11
69,6.505950586237106e-10,4.2183645844179214e-11
70,6.815383386753603e-10,4.293229627256385e-11
71,7.139533276919971e-10,4.3759180397661765e-11
72,7.479100223667351e-10,4.4668286848021504e-11
73,7.834817485407462e-10,4.5664054474652587e-11
74,8.207453195425545e-10,4.6682020247579904e-11
75,8.597812020581865e-10,4.777587036867585e-11
76,9.00673689890338e-10,4.898621592823809e-11
77,9.435110859818232e-10,5.026453917290305e-11
78,9.883858930963013e-10,5.16337074712844e-11
79,1.0353950135680645e-09,5.3079575693017655e-11
80,1.084639958552262e-09,5.460647004004211e-11
81,1.1362270672273387e-09,5.6260789136638273e-11
82,1.1902677364230987e-09,5.811608945812542e-11
83,1.246878661170195e-09,6.003257163176427e-11
84,1.3061820866905649e-09,6.224551575220277e-11
85,1.3683060723728644e-09,6.429552038277617e-11
86,1.435909805944848e-09,6.632439772154574e-11
87,1.4994459485958613e-09,6.875582748262094e-11
88,1.572975096610468e-09,7.21267427812358e-11
89,1.6477881593343816e-09,7.51548266354153e-11
90,1.7261594439056749e-09,7.809901978645175e-11
91,1.8035638202612135e-09,8.10053953861914e-11
92,1.8942616651753717e-09,8.50262222711963e-11
93,1.984355600596002e-09,8.894600010760408e-11
94,2.078734539165238e-09,9.304648288275128e-11
95,2.177602282081226e-09,9.813440820199723e-11
96,2.2811723236337807e-09,1.0547927017755755e-10
97,2.3896683122224244e-09,1.1358454545916606e-10
98,2.5033245333011324e-09,1.2231264916270065e-10
99,2.6223864152926105e-09,1.3161366196298148e-10
100,2.7471110595647183e-09,1.4026125165667519e-10
101,2.8777677956132774e-09,1.5003310143854784e-10
102,3.014638762650202e-09,1.6066462167215116e-10
103,3.1580195188529447e-09,1.710303565111726e-10
104,3.3040300607078553e-09,1.8288403184779093e-10
105,3.4655635860053234e-09,1.9685759640222328e-10
106,3.630391005391834e-09,2.122208737419271e-10
107,3.803057864888829e-09,2.2801984319311157e-10
108,3.976464683726594e-09,2.4611816072497e-10
109,4.147059256305997e-09,2.699165638730289e-10
110,4.335133942472361e-09,2.883374040409586e-10
111,4.541319436606136e-09,3.1078870821488976e-10
112,4.7573114231240756e-09,3.344771888593684e-10
113,4.983576313561505e-09,3.5711620806569115e-10
114,5.22060270268826e-09,3.8355958669177174e-10
115,5.468902423576725e-09,4.12114017205621e-10
116,5.729011652850384e-09,4.4230122167952056e-10
117,6.001492068499881e-09,4.746996280924581e-10
118,6.286932062766351e-09,5.096604202109231e-10
119,6.585948012711297e-09,5.469928638426214e-10
120,6.899185611216915e-09,5.868419466656602e-10
121,7.227321261290536e-09,6.305299111178237e-10
122,7.571063536684425e-09,6.767160017606172e-10
123,7.931154711984846e-09,7.260155699714251e-10
124,8.308372365474325e-09,7.789066705524606e-10
125,8.703531058228751e-09,8.359613057951177e-10
126,9.117484093074608e-09,8.965291198267439e-10
127,9.551125357204801e-09,9.625569115744729e-10
128,1.0005391252432433e-08,1.0121797658892483e-09
