,m_a [eV],G_ap[GeV^-1]
0,3.33555e-08,7e-11
1,3.28731e-08,6.7545e-11
2,3.28031e-08,6.72042e-11
3,3.23627e-08,6.5176e-11
4,3.18313e-08,6.28902e-11
5,3.15662e-08,6.18077e-11
6,3.12796e-08,6.06845e-11
7,3.07124e-08,5.85562e-11
8,3.03759e-08,5.73496e-11
9,3.01338e-08,5.65025e-11
10,2.95502e-08,5.45209e-11
11,2.92305e-08,5.34702e-11
12,2.89663e-08,5.26087e-11
13,2.83884e-08,5.07636e-11
14,2.81283e-08,4.99499e-11
15,2.78218e-08,4.89833e-11
16,2.72687e-08,4.72653e-11
17,2.70677e-08,4.66476e-11
18,2.67362e-08,4.56077e-11
19,2.62202e-08,4.40081e-11
20,2.60471e-08,4.34748e-11
21,2.57285e-08,4.24647e-11
22,2.52531e-08,4.09753e-11
23,2.50649e-08,4.03912e-11
24,2.4799e-08,3.95383e-11
25,2.43522e-08,3.81516e-11
26,2.41198e-08,3.74817e-11
27,2.38959e-08,3.68135e-11
28,2.34254e-08,3.55224e-11
29,2.32103e-08,3.49826e-11
30,2.29392e-08,3.42766e-11
31,2.24287e-08,3.30744e-11
32,2.23351e-08,3.28735e-11
33,2.19061e-08,3.19145e-11
34,2.14929e-08,3.10883e-11
35,2.13527e-08,3.07952e-11
36,2.07804e-08,2.97151e-11
37,2.06825e-08,2.95484e-11
38,2.01948e-08,2.8673e-11
39,1.99026e-08,2.82023e-11
40,1.95894e-08,2.76673e-11
41,1.91522e-08,2.69938e-11
42,1.89717e-08,2.6697e-11
43,1.843e-08,2.58592e-11
44,1.83709e-08,2.57607e-11
45,1.78256e-08,2.48572e-11
46,1.77351e-08,2.47078e-11
47,1.7335e-08,2.39854e-11
48,1.70663e-08,2.34987e-11
49,1.68884e-08,2.31442e-11
50,1.64869e-08,2.23325e-11
51,1.64228e-08,2.21998e-11
52,1.61338e-08,2.15493e-11
53,1.58064e-08,2.07935e-11
54,1.58036e-08,2.07867e-11
55,1.55139e-08,2.00642e-11
56,1.52407e-08,1.93605e-11
57,1.52077e-08,1.9271e-11
58,1.49956e-08,1.86815e-11
59,1.47684e-08,1.80263e-11
60,1.46342e-08,1.76376e-11
61,1.45512e-08,1.73941e-11
62,1.43383e-08,1.67841e-11
63,1.41246e-08,1.61954e-11
64,1.40824e-08,1.60812e-11
65,1.39128e-08,1.56274e-11
66,1.36981e-08,1.50793e-11
67,1.35514e-08,1.47212e-11
68,1.34792e-08,1.45505e-11
69,1.3254e-08,1.40402e-11
70,1.30404e-08,1.359e-11
71,1.30192e-08,1.35477e-11
72,1.27686e-08,1.30726e-11
73,1.25487e-08,1.2693e-11
74,1.24984e-08,1.26141e-11
75,1.21933e-08,1.21717e-11
76,1.20755e-08,1.20239e-11
77,1.18166e-08,1.17448e-11
78,1.16202e-08,1.15656e-11
79,1.13045e-08,1.13329e-11
