,m_a [eV],G_ap[GeV^-1]
0,4.61503e-09,2.89755e-11
1,4.61947e-09,2.92251e-11
2,4.62675e-09,2.97151e-11
3,4.63716e-09,3.07952e-11
4,4.64288e-09,3.19145e-11
5,4.64415e-09,3.30744e-11
6,4.64086e-09,3.42766e-11
7,4.63254e-09,3.55224e-11
8,4.61947e-09,3.67063e-11
9,4.61798e-09,3.68135e-11
10,4.59184e-09,3.81516e-11
11,4.55328e-09,3.95383e-11
12,4.50072e-09,4.09753e-11
13,4.44528e-09,4.21905e-11
14,4.42795e-09,4.24647e-11
15,4.31517e-09,4.40081e-11
16,4.27766e-09,4.44531e-11
17,4.13417e-09,4.56077e-11
18,4.11637e-09,4.57415e-11
19,3.96115e-09,4.64915e-11
20,3.81179e-09,4.68412e-11
21,3.66806e-09,4.6809e-11
22,3.52975e-09,4.62825e-11
23,3.4588e-09,4.56077e-11
24,3.39665e-09,4.48813e-11
25,3.35647e-09,4.40081e-11
26,3.30154e-09,4.24647e-11
27,3.26857e-09,4.12575e-11
28,3.26293e-09,4.09753e-11
29,3.23743e-09,3.95383e-11
30,3.21741e-09,3.81516e-11
31,3.2007e-09,3.68135e-11
32,3.1856e-09,3.55224e-11
33,3.17098e-09,3.42766e-11
34,3.15593e-09,3.30744e-11
35,3.14533e-09,3.23199e-11
36,3.13898e-09,3.19145e-11
37,3.1185e-09,3.07952e-11
38,3.09406e-09,2.97151e-11
39,3.06331e-09,2.8673e-11
40,3.02673e-09,2.77673e-11
41,3.0218e-09,2.76673e-11
42,2.95804e-09,2.6697e-11
43,2.9126e-09,2.61577e-11
44,2.87055e-09,2.57607e-11
45,2.80277e-09,2.51437e-11
46,2.76487e-09,2.48572e-11
47,2.69709e-09,2.43303e-11
48,2.64736e-09,2.39854e-11
49,2.59539e-09,2.35936e-11
50,2.5343e-09,2.31442e-11
51,2.49753e-09,2.28348e-11
52,2.44118e-09,2.23325e-11
53,2.40335e-09,2.19289e-11
54,2.37153e-09,2.15493e-11
55,2.32032e-09,2.07935e-11
56,2.31273e-09,2.06505e-11
57,2.28523e-09,2.00642e-11
58,2.25974e-09,1.93605e-11
59,2.24153e-09,1.86815e-11
60,2.23085e-09,1.80263e-11
61,2.22552e-09,1.74648e-11
62,2.22486e-09,1.73941e-11
63,2.22279e-09,1.67841e-11
64,2.22552e-09,1.63462e-11
65,2.22722e-09,1.61954e-11
66,2.25546e-09,1.56274e-11
67,2.31273e-09,1.53008e-11
68,2.40335e-09,1.52209e-11
69,2.49753e-09,1.52805e-11
70,2.59539e-09,1.5404e-11
71,2.69709e-09,1.55704e-11
72,2.72461e-09,1.56274e-11
73,2.80277e-09,1.57794e-11
74,2.9126e-09,1.60247e-11
75,2.97998e-09,1.61954e-11
76,3.02673e-09,1.63084e-11
77,3.14533e-09,1.66334e-11
78,3.19468e-09,1.67841e-11
79,3.26857e-09,1.70009e-11
80,3.39659e-09,1.73941e-11
81,3.39665e-09,1.73943e-11
82,3.52975e-09,1.78229e-11
83,3.5872e-09,1.80263e-11
84,3.66806e-09,1.83223e-11
85,3.75466e-09,1.86815e-11
86,3.81179e-09,1.89367e-11
87,3.89437e-09,1.93605e-11
88,3.96115e-09,1.97285e-11
89,4.0134e-09,2.00642e-11
90,4.11637e-09,2.07826e-11
91,4.11768e-09,2.07935e-11
92,4.12931e-09,2.08955e-11
93,4.61503e-09,2.89755e-11
