,m_a [eV],G_ap[GeV^-1]
0,8.6804e-13,6.549573149937363e-11
1,1003.7903030005582,6.549573149937363e-11
2,10925.167325530183,6.33175840475231e-11
3,16594.198288172407,7.126749727810741e-11
4,21121.4733702803,7.62550887299646e-11
5,30199.71426123157,8.264753436285443e-11
6,46737.90384402794,9.7914222670683e-11
7,70721.98029932911,1.5270770917027732e-10
8,88648.9514781613,1.9273658186000364e-10
9,100189.33590959445,2.4846117925641894e-10
10,126773.64805917046,5.436669215825238e-10
11,146000.21044056673,9.034865445159675e-10
12,165006.62312181978,1.5998676820209085e-09
13,205292.43942998184,3.809984684438936e-09
14,240454.74981101253,1.0747117255457219e-08
15,304257.1901484971,6.775265392113799e-08
16,328055.44232761883,1.7192501591536648e-07
17,347117.92781009723,3.530529491468689e-07
18,377808.51422411186,1.1549069500890415e-06
19,388630.2837315206,3.9412732381208085e-06
20,328055.44232761615,1.4031641887152236e-05
21,256833.37422175292,2.762020288216121e-05
22,174594.74742012465,7.311761625453087e-05
23,103059.11215733361,0.00021516576894457025
24,61989.51216193957,0.0004059842202521573
25,35572.02120130092,0.0007991485686780445
26,29467.44968011735,0.0010086272943402876
