,m_a [eV],G_ap[GeV^-1]
0,1.6958453899020667e-05,1.0013404084525517e-14
1,1.6959599716038e-05,1.0001885815697486e-14
2,1.6959715456845652e-05,9.831803949991669e-15
3,1.6959895810462005e-05,9.656981899122047e-15
4,1.696021437956891e-05,9.479436067449753e-15
5,1.6961047847470268e-05,9.238740500896976e-15
6,1.6961679519384083e-05,8.723582862883406e-15
7,1.6962278368102818e-05,8.502207246180984e-15
8,1.6963043958471164e-05,8.333298728848038e-15
9,1.696380091993987e-05,8.159902824166969e-15
10,1.696478702522152e-05,7.975434497966526e-15
11,1.6965882380317658e-05,7.794716677393118e-15
12,1.6967567736653454e-05,7.63036978055585e-15
13,1.6968928176008835e-05,7.590912946852739e-15
14,1.6969610701654292e-05,7.773990263930467e-15
15,1.6970591207311556e-05,7.962651185936228e-15
16,1.697188978687085e-05,8.158726092263391e-15
17,1.697444102699171e-05,8.260003833169156e-15
18,1.69770642276535e-05,8.315263709245034e-15
19,1.69792589116052e-05,8.416363490557357e-15
20,1.6980653701161043e-05,8.606091550626197e-15
21,1.698073556579952e-05,8.988049343696137e-15
22,1.698212892687975e-05,8.780691250426722e-15
23,1.6983351048982696e-05,8.994514198799995e-15
24,1.6984775235453454e-05,8.982566250476371e-15
25,1.6984786518841e-05,8.822267344896956e-15
26,1.6985879832560036e-05,8.618693569416917e-15
27,1.698635406832249e-05,8.44411883347041e-15
28,1.698703721524146e-05,8.254569108391401e-15
29,1.6988298835828676e-05,8.07292779129733e-15
30,1.698838101398972e-05,7.921178518046315e-15
31,1.698974306548186e-05,8.08034353040901e-15
32,1.6990775504163448e-05,8.26363319073812e-15
33,1.6991686690207562e-05,8.455570778680987e-15
34,1.6991722361284172e-05,8.574143902282487e-15
35,1.6992768767282817e-05,8.17601140784538e-15
36,1.6992848571453443e-05,7.991215424248781e-15
37,1.699308898389825e-05,7.82008244233705e-15
38,1.699356875171592e-05,7.621869673674922e-15
39,1.6994134009037144e-05,7.036165970793791e-15
40,1.6994581598060954e-05,7.421693165068063e-15
41,1.6994771123809297e-05,7.21171235422408e-15
42,1.6996181109814975e-05,7.457503601918908e-15
43,1.6996411501286962e-05,7.6854281522076e-15
44,1.699696600954567e-05,7.913399931448948e-15
45,1.6997544827861988e-05,8.1174059460452e-15
46,1.6998009653824803e-05,8.314481953260136e-15
47,1.699966749067077e-05,8.465428071592406e-15
48,1.7002286951323692e-05,8.497060856995401e-15
49,1.7004640859804015e-05,8.351776428669603e-15
50,1.7005444726516383e-05,8.173949898826254e-15
51,1.700609092126555e-05,8.00106992300872e-15
52,1.7006777351410997e-05,7.832124744526917e-15
53,1.700746390853206e-05,7.663972030467885e-15
54,1.700819268504331e-05,7.51234949074157e-15
55,1.700934187779792e-05,7.347191142354886e-15
56,1.701081700424479e-05,7.2225401532385e-15
57,1.7012408869758467e-05,7.461105516764423e-15
58,1.7012944418250014e-05,7.706098505127482e-15
59,1.701336827437807e-05,7.927890436428718e-15
60,1.701421157800549e-05,8.174604855862747e-15
61,1.7015076794692925e-05,8.319978936948314e-15
62,1.7015121934522133e-05,8.498856597943425e-15
63,1.7016278428374297e-05,8.296199018091482e-15
64,1.7016739056816472e-05,8.086482614346154e-15
65,1.7018211686448446e-05,7.851217691469595e-15
66,1.7021100885841217e-05,7.827588453688564e-15
67,1.7021943354499356e-05,8.045869565054519e-15
68,1.7022526390219855e-05,8.226634516118748e-15
69,1.702307374398012e-05,8.432393826339941e-15
70,1.7023736061457312e-05,8.96596410353955e-15
71,1.702384340663766e-05,8.641183807139175e-15
72,1.702471755059839e-05,8.786207354917268e-15
73,1.702541792959172e-05,8.980406193144648e-15
74,1.702597606358124e-05,8.751204396530501e-15
75,1.7026036402390917e-05,8.530453477291705e-15
76,1.7026302572291616e-05,8.344662300600633e-15
77,1.7026691444165676e-05,8.161829244905955e-15
78,1.7026930666214147e-05,7.768776492624826e-15
79,1.702795494382701e-05,7.938722745784113e-15
80,1.7029345551845166e-05,7.884891257539751e-15
81,1.7030129435770978e-05,8.041436863846307e-15
82,1.7031318562354803e-05,8.213932351837629e-15
83,1.703292816866979e-05,8.373338794750576e-15
84,1.7034849857946678e-05,8.502104719310887e-15
