,m_a [eV],G_ap[GeV^-1]
0,2.3161784788610603e-05,2.9771361346257125e-14
1,2.3166367591939355e-05,2.7628449400271103e-14
2,2.3175733645129948e-05,2.707917258568138e-14
3,2.31854914736097e-05,2.6850673430812054e-14
4,2.319525871436634e-05,2.6674904850143333e-14
5,2.32050194575032e-05,2.6393675121073403e-14
6,2.3214733878852428e-05,2.5611504937097637e-14
7,2.3224608143695324e-05,2.637609826300652e-14
8,2.323440514500857e-05,2.633215611783935e-14
9,2.3244143384167766e-05,2.5664235511298242e-14
10,2.3253947739954186e-05,2.5611504937097637e-14
11,2.3263717221288735e-05,2.5172083485425866e-14
12,2.327355555522004e-05,2.5374217353194877e-14
13,2.3283308428825662e-05,2.4688719888586912e-14
14,2.329313374293418e-05,2.4679931459553465e-14
15,2.3302908142079953e-05,2.4126260430447025e-14
16,2.3311226576918852e-05,2.42932405820823e-14
17,2.3318317592617355e-05,2.3539193371013533e-14
18,2.332816280705104e-05,2.4760492059026637e-14
19,2.3337815009529385e-05,2.432839429821605e-14
20,2.3347647308678124e-05,2.4161414146580775e-14
21,2.335754428128808e-05,2.459204716921911e-14
22,2.3367413389714406e-05,2.470629674665378e-14
23,2.33772501405219e-05,2.4460220733717586e-14
24,2.3387163226823013e-05,2.492600747248966e-14
25,2.3397040391599143e-05,2.4996314904757145e-14
26,2.3406837875661037e-05,2.4240510007881695e-14
27,2.3416883985736133e-05,2.5892734666167568e-14
28,2.3426711206472708e-05,2.5347852066094574e-14
29,2.3436530940070057e-05,2.4688719888586912e-14
30,2.3446440570620668e-05,2.4873276898289054e-14
31,2.345592213547494e-05,2.3461855195519298e-14
32,2.3464112253032107e-05,2.3670238612823208e-14
33,2.3473340287928075e-05,2.3924126562678002e-14
34,2.348076913716077e-05,2.170724533899389e-14
35,2.3489626344287364e-05,2.464477774341973e-14
36,2.3499458120748788e-05,2.3845030701377095e-14
37,2.3509302075908674e-05,2.3124379520635368e-14
38,2.351883559227444e-05,2.3742206081685892e-14
39,2.352856342910522e-05,2.6226694969438128e-14
40,2.3538513767726456e-05,2.6428828837207152e-14
41,2.354796750316452e-05,2.6149356793943893e-14
42,2.3552915850112512e-05,2.3004270990511755e-14
43,2.3557834517252473e-05,2.1032733410677712e-14
44,2.3567916318343515e-05,2.092580752410425e-14
45,2.3577679364390225e-05,2.060759315618527e-14
46,2.358165433865263e-05,2.1572594051303048e-14
47,2.3592186431439358e-05,2.3450806884734412e-14
48,2.359445986728423e-05,2.5453313214495797e-14
49,2.360034806833365e-05,2.1076675555844895e-14
50,2.3608383257353413e-05,2.43899133014501e-14
51,2.3610355758961613e-05,2.1542462294616968e-14
52,2.3620320884000707e-05,2.1551250723650415e-14
53,2.362738811813504e-05,2.419656786271451e-14
54,2.3630313629512706e-05,2.1788538307553175e-14
55,2.3640530658251327e-05,2.1223881742154936e-14
56,2.365007836369549e-05,1.9986910355698884e-14
57,2.3660080993240144e-05,2.019783265250134e-14
58,2.3670057980774487e-05,2.0798149958785238e-14
59,2.3680093530997983e-05,2.056694667190564e-14
60,2.369011788362479e-05,2.0865753259042438e-14
61,2.3700132931492857e-05,2.1032733410677712e-14
62,2.3710139562817474e-05,2.1076675555844895e-14
63,2.3720107931955494e-05,2.0707561536440598e-14
64,2.3730137466907887e-05,2.0892118546142753e-14
65,2.3740801337094086e-05,2.1073295390832034e-14
66,2.3750809891038444e-05,2.096918630843595e-14
67,2.375839846671336e-05,1.6728600291552648e-14
68,2.3758811092603595e-05,1.8838137132042668e-14
69,2.3767565559295022e-05,2.1656711872051638e-14
70,2.37777153496599e-05,1.9495856883455672e-14
71,2.378002781806873e-05,1.8702334978645057e-14
72,2.3790106412825448e-05,1.9116855881388764e-14
73,2.3800186406880534e-05,1.950354675885993e-14
74,2.3810275208971237e-05,1.9934179781498266e-14
75,2.38203492238194e-05,2.0180255794434473e-14
76,2.3830430225493293e-05,2.045269709447097e-14
77,2.384052457924918e-05,2.081302268484182e-14
78,2.3850605029778245e-05,2.0997579694543975e-14
79,2.3860702473359476e-05,2.130517471071422e-14
80,2.3870831483570425e-05,2.187642259788753e-14
81,2.3880779131511917e-05,2.0654830962239993e-14
82,2.3890882976236313e-05,2.0900906975176174e-14
83,2.3900995650225326e-05,2.1190925133279552e-14
84,2.3911070686807138e-05,2.1076675555844895e-14
85,2.3921225636855073e-05,2.1691865588185387e-14
86,2.3931333825861233e-05,2.1814903594653478e-14
87,2.3941487344990782e-05,2.233342090762618e-14
88,2.3951637869584035e-05,2.2781630788331386e-14
89,2.3961773612007486e-05,2.3046162502237797e-14
90,2.3967985055141324e-05,2.3108999769826865e-14
91,2.3970578760714026e-05,2.2263113475358695e-14
92,2.397596866241416e-05,2.361653154650777e-14
93,2.397975506898507e-05,2.2069768036623106e-14
94,2.3987243630458634e-05,2.4381124872416654e-14
95,2.3989522196460288e-05,2.6342702232679482e-14
