,m_a [eV],G_ap[GeV^-1]
0,27.8530548203933,7.161308956999183e-13
1,28.113951863776588,6.017429663975928e-13
2,28.41038327880683,5.093440776016703e-13
3,28.73597568304135,4.3138279149898586e-13
4,29.3651931278878,3.5886134962200473e-13
5,30.172545696445585,2.9654128530367993e-13
6,30.969266918161996,2.52407960882703e-13
7,31.95179683736115,2.1975318965119228e-13
8,33.445346112041335,1.8670977241591257e-13
9,34.95978424661448,1.59935170734754e-13
10,36.7135452544042,1.3760658674067443e-13
11,38.64525440287978,1.1910610829189273e-13
12,40.678601794364816,1.0422534033154615e-13
13,42.81893519689682,9.196884605229198e-14
14,45.071883755110704,8.172936174408213e-14
15,47.44337279506745,7.471284867301282e-14
16,50.06515147842902,7.362147802957487e-14
17,52.567248854307664,6.770092559130925e-14
18,55.333111829904645,6.216778614837123e-14
19,58.24450264206346,5.712356252844066e-14
20,61.30907834082656,5.252236262245155e-14
21,64.5348988573395,4.835388760109989e-14
22,67.93044820172533,4.477445625920571e-14
23,71.50465677629988,4.1300444294441355e-14
24,75.26692486281259,3.814497199522417e-14
25,79.22714734548553,3.538942322363369e-14
26,83.39573973487188,3.230966828724297e-14
27,87.78366556097876,2.987949475730465e-14
28,92.4024652076983,2.7667643646250822e-14
29,97.26428626438305,2.5439064865284688e-14
30,102.1985148325464,2.3738923010419634e-14
31,107.7688123646221,2.1770165471263154e-14
32,113.43914464450769,2.0132721242486206e-14
33,119.40782546752797,1.8642382058024547e-14
34,125.69055265328045,1.724019423580229e-14
35,132.30384997324379,1.5963976445475672e-14
36,139.265110608818,1.476324505308092e-14
37,146.59264289594424,1.3670385209276701e-14
38,155.02671787689656,1.2561420570646305e-14
39,163.18355827751225,1.161661261106526e-14
40,171.76957660456702,1.0777441917363539e-14
41,180.80735435818858,1.0011751205352579e-14
42,190.32066118010277,9.270624114448878e-15
43,200.33451736854656,8.60583933609775e-15
44,210.87525968244375,7.94889609849109e-15
45,221.9706106079138,7.393657889961972e-15
46,233.64975126929133,6.877203616257357e-15
47,245.94339817640366,6.413288268321814e-15
48,258.88388400996774,5.9999146650665704e-15
49,272.50524265756326,5.634870071626572e-15
50,286.84329872383285,5.319311626640169e-15
51,301.93576175033047,5.047306232180999e-15
52,317.82232539280824,4.8169890344235695e-15
53,334.5447718167864,4.614941293934018e-15
54,352.14708158597614,4.435597579517427e-15
55,370.67554933254996,4.2824440958297305e-15
56,390.17890551349524,4.158560726385687e-15
57,409.6788088750015,4.0998807061050456e-15
58,432.3181598497511,3.9594242659208665e-15
59,455.0648855785541,3.8846220798638395e-15
60,479.0084463687405,3.818587693682573e-15
61,504.21181454350346,3.7585033046767935e-15
62,530.741275759357,3.735196086968026e-15
63,558.6666033395085,3.707265604787168e-15
64,588.0612417799148,3.698509104219565e-15
65,619.0024999106301,3.661429201765159e-15
66,651.5717542204732,3.652780966029895e-15
67,685.8546628797787,3.653532444984989e-15
68,721.9413910240887,3.654284078540285e-15
69,759.9268478913228,3.6550358667275575e-15
70,800.7719170663709,3.7046882700481585e-15
71,841.998816077553,3.6565399071253515e-15
72,886.3011792721717,3.6572921593995005e-15
73,932.9345426382272,3.676898881338712e-15
74,982.0215533982941,3.706125017275762e-15
75,1033.6913119453036,3.71165478139404e-15
76,1088.0797113806573,3.712418372335513e-15
77,1145.3297949174016,3.737120645161091e-15
78,1205.5921320884022,3.766825458786226e-15
79,1269.0252147489764,3.772445791658085e-15
80,1335.7958739155088,3.812218052893634e-15
81,1406.079718536289,3.822816202650966e-15
82,1480.0615973486244,3.840841299296802e-15
83,1557.9360850368669,3.8838296718233975e-15
84,1639.9079939699855,3.887125830405973e-15
85,1726.1929128646045,3.923061818195258e-15
86,1817.0177737901306,3.936496982169877e-15
87,1912.6214490073062,3.949978157051109e-15
88,2013.2553792098101,3.978817192842458e-15
89,2119.1842348212344,3.99500975284759e-15
90,2230.6866120867066,4.02159237661412e-15
91,2348.055765789807,4.0535583374075465e-15
92,2504.5139304031613,4.0389059124393535e-15
