,m_a [eV],G_ap[GeV^-1]
0,1.094058503168817e-11,5.315454033547002e-12
1,1.226781843299024e-11,5.317859667495267e-12
2,1.3755998683827367e-11,5.3174630234793455e-12
3,1.5424706586836558e-11,5.317066409047994e-12
4,1.7295841527647014e-11,5.316669824198963e-12
5,1.9393959454941693e-11,5.316273268930067e-12
6,2.1746595141883807e-11,5.315876743239121e-12
7,2.4384623540321207e-11,5.315480247123877e-12
8,2.73426649700196e-11,5.31508378058217e-12
9,3.065953946045168e-11,5.314687343611752e-12
10,3.4378776207721046e-11,5.314290936210462e-12
11,3.854918483250922e-11,5.31389455837605e-12
12,4.322549593598445e-11,5.3134982101063535e-12
13,4.8469079360041574e-11,5.313101891399125e-12
14,5.434874957800792e-11,5.312705602252202e-12
15,6.094166878540172e-11,5.312309342663337e-12
16,6.833435954251348e-11,5.3119131126303685e-12
17,7.662384025827759e-11,5.311516912151049e-12
18,8.591889841703034e-11,5.311120741223217e-12
19,9.634151825741378e-11,5.310724599844625e-12
20,1.0802848163965512e-10,5.310328488013091e-12
21,1.2113316311030107e-10,5.309932405726433e-12
22,1.358275427220342e-10,5.309536352982403e-12
23,1.5230446302394233e-10,5.3091403297788424e-12
24,1.707801598419737e-10,5.308744336113503e-12
25,1.9149710006242692e-10,5.308348371984226e-12
26,2.1472716366029603e-10,5.307952437388764e-12
27,2.407752117320038e-10,5.307556532324959e-12
28,2.699830873578054e-10,5.307160656790563e-12
29,3.0273410179941485e-10,5.306764810783419e-12
30,3.394580649077433e-10,5.30636899430128e-12
31,3.8063692575757227e-10,5.305973207341987e-12
32,4.2681109753439435e-10,5.305577449903296e-12
33,4.785865496784136e-10,5.3051817219830465e-12
34,5.36642760359881e-10,5.3047860235789956e-12
35,6.017416336505607e-10,5.304390354688961e-12
36,6.747374984163e-10,5.303994715310765e-12
37,7.56588320151818e-10,5.303599105442185e-12
38,8.483682728968054e-10,5.3032035250809965e-12
39,9.512818362216983e-10,5.302807974225021e-12
40,1.0666796022856429e-09,5.30241245287208e-12
41,1.196076000411606e-09,5.302016961019929e-12
42,1.3411691717880386e-09,5.3016214986664114e-12
43,1.5038632551239275e-09,5.301226065809283e-12
44,1.6862933757243964e-09,5.300830662446388e-12
45,1.8908536659323058e-09,5.300435288575483e-12
46,2.1202286846639327e-09,5.30003994419441e-12
47,2.3774286483746895e-09,5.2996446293009285e-12
48,2.665828935810573e-09,5.299249343892881e-12
49,2.989214384988296e-09,5.298854087968025e-12
50,3.3518289637380858e-09,5.298458861524184e-12
51,3.758431465663365e-09,5.29806366455918e-12
52,4.2143774469143525e-09,5.300461428086264e-12
53,4.7257119978032925e-09,5.312651565113264e-12
54,5.298977024889324e-09,5.312255309554876e-12
55,5.9417834864582055e-09,5.311859083552083e-12
56,6.662567290652637e-09,5.311462887102638e-12
57,7.470787685825663e-09,5.311066720204381e-12
58,8.377051399538988e-09,5.310670582855063e-12
59,9.393056411587164e-09,5.297694622936904e-12
60,1.0532457335904914e-08,5.294508218057993e-12
61,1.181012500646054e-08,5.2941133157602405e-12
62,1.3242783542330932e-08,5.293718442917104e-12
63,1.4849234521488746e-08,5.2933235995264306e-12
64,1.6650560297186718e-08,5.292928785585981e-12
65,1.8670400673452033e-08,5.2925340010936e-12
66,2.0935263143435176e-08,5.292139246047049e-12
67,2.347487076204451e-08,5.291744520444176e-12
68,2.63225522181934e-08,5.29134982428274e-12
69,2.95156792257958e-08,5.2909551575605664e-12
70,3.3096156973636484e-08,5.290560520275483e-12
71,3.7110974070563885e-08,5.290165912425249e-12
72,4.1612819203242395e-08,5.289771334007713e-12
73,4.6660772599209434e-08,5.289376785020637e-12
74,5.232108136969216e-08,5.2889822654618685e-12
75,5.866802890744096e-08,5.288587775329169e-12
76,6.578490974917285e-08,5.288193314620387e-12
77,7.376512269628895e-08,5.287798883333285e-12
78,8.27133965395003e-08,5.287404481465712e-12
79,9.274716447322888e-08,5.287010109015429e-12
80,1.0399906687928502e-07,5.292191443372155e-12
81,1.1661521908167349e-07,5.293191447779875e-12
82,1.3076183978892468e-07,5.294191641146921e-12
83,1.4663035273657246e-07,5.318967805063677e-12
84,1.6443180011191011e-07,5.370684155101443e-12
85,1.8440463714551147e-07,5.4573104543693495e-12
86,2.0680922725012987e-07,5.562898127030005e-12
87,2.3195499346564653e-07,5.723978163942437e-12
88,2.60168316723561e-07,5.915855911066621e-12
89,2.9184406632870445e-07,6.188082866004639e-12
90,3.2740437204686047e-07,6.536259695762062e-12
91,3.6161909784321975e-07,6.929388110843162e-12
92,3.932363467448867e-07,7.37727697967382e-12
93,4.2762204726850757e-07,7.862658219251012e-12
94,4.669958617229957e-07,8.373880604219597e-12
95,4.91146181525464e-07,8.919853747240885e-12
96,5.239227516194082e-07,9.582615964657014e-12
97,5.560304231434667e-07,1.0295345747362805e-11
98,5.836836347986263e-07,1.0949316439758271e-11
99,6.410798096677303e-07,1.2658891685897939e-11
100,6.741028351863524e-07,1.3398417545972973e-11
101,6.97578745686375e-07,1.4500578779338818e-11
102,7.335331037627954e-07,1.539782850271267e-11
103,7.651980636853635e-07,1.6538714964055713e-11
104,7.958930120299922e-07,1.7682108212000164e-11
105,8.288164160353444e-07,1.900680160755728e-11
106,8.714550297258698e-07,2.0457472547345483e-11
107,8.989653527720354e-07,2.2411538783828218e-11
108,9.377945002828092e-07,2.413906548437946e-11
109,9.783070202533313e-07,2.6018602519486616e-11
110,1.0205858921204382e-06,2.8095341997833757e-11
111,1.0599154923041813e-06,3.021568234625775e-11
112,1.1094053168569825e-06,3.270927500322147e-11
113,1.3664583942290087e-06,4.727126807525401e-11
114,1.4168197031213268e-06,5.1801047249291546e-11
115,1.4780635927425825e-06,5.599651538144844e-11
116,1.5419597309910254e-06,6.055372062257174e-11
117,1.608597623330719e-06,6.538696645441485e-11
118,1.6780711678763979e-06,7.039432271225538e-11
119,1.732322852009804e-06,7.530855523358483e-11
