,m_a [eV],G_ap[GeV^-1]
0,3.994709004448982e-10,1.0
1,3.994709004448982e-10,6.647005109320537e-11
2,4.2049649122403553e-10,5.183573672756703e-11
3,4.989072349881869e-10,3.988891952817045e-11
4,4.989072349881869e-10,3.070548129098176e-11
5,4.739609641427932e-10,2.4908582301168677e-11
6,4.989072349881869e-10,2.1010828691276037e-11
7,5.251665178243808e-10,1.967849583450877e-11
8,5.528079211966475e-10,1.659915847002884e-11
9,5.81904191081639e-10,1.4948214940057082e-11
10,6.447716602367459e-10,1.3285214990593862e-11
11,7.023193813563094e-10,1.2120639659157037e-11
12,8.052682832446497e-10,1.1499680016050285e-11
13,9.39230694812985e-10,1.1199420327930484e-11
14,1.0586501789117015e-09,1.1953805581356279e-11
15,1.1143707468310822e-09,1.344622456244241e-11
16,1.173024088721611e-09,1.532414843772023e-11
17,1.005715740920877e-09,2.017535137289945e-11
18,1.5687168247510155e-09,2.5511040535093132e-11
19,1.959201966011363e-09,2.484172247599352e-11
20,2.4468867057838993e-09,2.325893280302444e-11
21,2.9532283557896344e-09,2.206519695231048e-11
22,3.625817498627132e-09,2.1769939555671727e-11
23,4.376118855259158e-09,2.353929379270519e-11
24,4.9325251342870916e-09,2.6130608755707978e-11
25,5.655555225142397e-09,2.862923500352209e-11
26,6.484570079997855e-09,3.095908676407958e-11
27,7.826441735159774e-09,2.861162532612412e-11
28,1.028907274204873e-08,2.89733908407286e-11
29,1.285022970787306e-08,3.300917544432276e-11
30,1.7782794100389228e-08,3.568275440505352e-11
31,2.4608724762569082e-08,3.5197299075620286e-11
32,2.8702570482571946e-08,3.9069451011302415e-11
33,3.126435727223812e-08,4.062678387232013e-11
34,3.97200604694846e-08,5.006389557815192e-11
35,4.793945244578903e-08,4.939558336140431e-11
36,5.687880913573047e-08,5.411531702413791e-11
37,6.864891275355195e-08,6.412526020902303e-11
38,1.4077153669117242e-07,6.48814092758638e-11
39,9.663812940495773e-08,5.477293890257602e-11
40,8.006917367200675e-08,4.8073148338254085e-11
41,6.195540608875703e-08,3.9012558503359604e-11
42,5.0462678313251455e-08,3.124512674632481e-11
43,6.195540608875703e-08,2.9640549530566377e-11
44,7.871175648450302e-08,3.04125609841242e-11
45,1e-07,3.1204680083925544e-11
46,1.314655253335079e-07,3.286411825924286e-11
47,1.699018155853949e-07,3.553055040345055e-11
48,2.158531624419354e-07,3.841456764649445e-11
49,2.7423242992224763e-07,4.153268076938621e-11
50,3.484008516265785e-07,4.6701349785710676e-11
51,4.2049649122403557e-07,5.3209957469023386e-11
52,5.075110990866366e-07,5.983765596370858e-11
53,5.819041910816402e-07,6.555937256037709e-11
54,5.819041910816402e-07,1.0
