,m_a [eV],G_ap[GeV^-1]
0,1.6465455583027506e-05,1.0
1,1.6465455583027506e-05,2.007008417128754e-10
2,1.6559239305600643e-05,1.9405721002368325e-10
3,1.658028359675919e-05,1.6067524034443687e-10
4,1.6584963463120695e-05,1.3810427781871344e-10
5,1.6601721066259682e-05,1.2461099264233927e-10
6,1.663364351392121e-05,1.0395261528410458e-10
7,1.6634069391833785e-05,9.117729241110445e-11
8,1.665761326608347e-05,1.5030342861735268e-10
9,1.6661623783706405e-05,1.176816173099418e-10
10,1.6661873056780725e-05,1.329960547043387e-10
11,1.667262198146353e-05,1.8433539593512992e-10
12,1.6780291449787778e-05,1.921449762613017e-10
13,1.679403427905138e-05,1.3036011553850735e-10
14,1.6797940562570376e-05,1.4864108806803692e-10
15,1.67997957942991e-05,1.1264465311571361e-10
16,1.6801836328825818e-05,1.6854582875484346e-10
17,1.6889690131084496e-05,1.9628593014009487e-10
18,1.699057908394346e-05,1.9828053867787423e-10
19,1.7091977022482838e-05,1.9151810066296426e-10
20,1.713276793233391e-05,1.4819668462499783e-10
21,1.7134035039076843e-05,1.7353715661017553e-10
22,1.716097577344031e-05,1.005490953379443e-10
23,1.716513151399802e-05,1.176816173099418e-10
24,1.716538832000683e-05,1.329960547043387e-10
25,1.720865235216375e-05,1.7888814967460462e-10
26,1.7211935497669352e-05,9.30841805568574e-11
27,1.7243027442634425e-05,1.481253866738321e-10
28,1.726752914859317e-05,1.1142885332757752e-10
29,1.72677874865639e-05,1.2592959046242023e-10
30,1.7277793049078468e-05,9.877247646978695e-11
31,1.7306859209274428e-05,8.536381471608279e-11
32,1.731734014960288e-05,7.308413709901018e-11
33,1.732310566698265e-05,6.374618940715185e-11
34,1.7361056970641904e-05,1.0158863833151773e-10
35,1.738658881540853e-05,1.758105560524539e-11
36,1.738710586715712e-05,3.6664637274198787e-11
37,1.7387365994104484e-05,4.143597119158686e-11
38,1.7387626124943625e-05,4.6828220220747527e-11
39,1.7390522877208217e-05,1.999518839867321e-11
40,1.7390783055277204e-05,2.259725206775225e-11
41,1.7391043237238656e-05,2.553793396852489e-11
42,1.7391303423092702e-05,2.8861300012289957e-11
43,1.7391563612839362e-05,3.261715060529329e-11
