,m_a [eV],G_ap[GeV^-1]
0,1.25e-11,1.0
1,1.25e-11,3.65e-10
2,1.26e-11,3.05e-10
3,1.27e-11,3.83e-10
4,1.28e-11,2.95e-10
5,1.29e-11,4.99e-10
6,1.3e-11,5.78e-10
7,1.31e-11,4.69e-10
8,1.32e-11,5.24e-10
9,1.33e-11,1.13e-09
10,1.34e-11,9.36e-10
11,1.35e-11,5.73e-10
12,1.36e-11,3.96e-10
13,1.38e-11,4.31e-10
14,1.39e-11,2.8e-10
15,1.4e-11,1.96e-10
16,1.41e-11,1.34e-10
17,1.42e-11,1.81e-10
18,1.43e-11,2.5e-10
19,1.44e-11,1.49e-10
20,1.45e-11,2.52e-10
21,1.47e-11,3.32e-10
22,1.48e-11,3.27e-10
23,1.49e-11,3.64e-10
24,1.5e-11,1.55e-10
25,1.51e-11,3.13e-10
26,1.53e-11,3.07e-10
27,1.54e-11,3.23e-10
28,1.55e-11,2.63e-10
29,1.56e-11,1.11e-10
30,1.58e-11,2.15e-10
31,1.59e-11,2.3e-10
32,1.6e-11,9.23e-11
33,1.61e-11,7.41e-11
34,1.63e-11,7.79e-11
35,1.64e-11,1.01e-10
36,1.65e-11,1.03e-10
37,1.67e-11,1.35e-10
38,1.68e-11,1.35e-10
39,1.69e-11,6.99e-11
40,1.71e-11,7.4e-11
41,1.72e-11,6.56e-11
42,1.74e-11,1.48e-10
43,1.75e-11,9.82e-11
44,1.76e-11,7.79e-11
45,1.78e-11,8.82e-11
46,1.79e-11,7.55e-11
47,1.81e-11,4.59e-11
48,1.82e-11,4.5e-11
49,1.84e-11,4.61e-11
50,1.85e-11,5.53e-11
51,1.87e-11,5.91e-11
52,1.88e-11,5.43e-11
53,1.9e-11,9.49e-11
54,1.91e-11,4.59e-11
55,1.93e-11,4.33e-11
56,1.94e-11,4.46e-11
57,1.96e-11,4.46e-11
58,1.97e-11,4.89e-11
59,1.99e-11,4.35e-11
60,2.01e-11,4.12e-11
61,2.02e-11,4.05e-11
62,2.04e-11,4.04e-11
63,2.05e-11,4.19e-11
64,2.07e-11,4.49e-11
65,2.09e-11,6.29e-11
66,2.11e-11,4.29e-11
67,2.12e-11,4.23e-11
68,2.14e-11,4.38e-11
69,2.16e-11,5.18e-11
70,2.17e-11,6.87e-11
71,2.19e-11,5.17e-11
72,2.21e-11,4.65e-11
73,2.23e-11,4.6e-11
74,2.24e-11,7.55e-11
75,2.26e-11,5.84e-11
76,2.28e-11,4.91e-11
77,2.3e-11,5.64e-11
78,2.32e-11,6.63e-11
79,2.34e-11,5.11e-11
80,2.36e-11,6.48e-11
81,2.37e-11,6.24e-11
82,2.39e-11,6.03e-11
83,2.41e-11,6.17e-11
84,2.43e-11,8.36e-11
85,2.45e-11,7.99e-11
86,2.47e-11,6.74e-11
87,2.49e-11,7.62e-11
88,2.51e-11,8.99e-11
89,2.53e-11,9.35e-11
90,2.55e-11,7.39e-11
91,2.57e-11,5.84e-11
92,2.59e-11,6.44e-11
93,2.61e-11,9.06e-11
94,2.64e-11,7.27e-11
95,2.66e-11,8.47e-11
96,2.68e-11,6.27e-11
97,2.7e-11,7.63e-11
98,2.72e-11,6.28e-11
99,2.74e-11,6.04e-11
100,2.77e-11,5.9e-11
101,2.79e-11,5.86e-11
102,2.81e-11,5.86e-11
103,2.83e-11,5.6e-11
