,m_a [eV],G_ap[GeV^-1]
0,1051111.4620883798,8.075221148402602e-10
1,1105912.9491388656,7.711565169985387e-10
2,1159339.1095666778,7.184828372882867e-10
3,1215346.2639328293,6.694070219195265e-10
4,1274059.8261345983,6.233491264773439e-10
5,1335609.087058525,5.807713987243211e-10
6,1400132.5644718665,5.408119906476725e-10
7,1467772.3430529248,5.038719441708386e-10
8,1538679.769114363,4.694550796080677e-10
9,1613012.7012459019,4.373890515624627e-10
10,1690936.6241152065,4.075132866523192e-10
11,1772626.0286952408,3.794747335249395e-10
12,1858260.800095039,3.53554793627881e-10
13,1948032.549037754,3.294053096397757e-10
14,2042141.1310599928,3.069053509512922e-10
15,2140796.0566300345,2.8594224709231057e-10
16,2244216.9575732807,2.664110235248922e-10
17,2352635.4189147856,2.480808736095699e-10
18,2466290.1847957405,2.3113576299880814e-10
19,2585435.561633073,2.1534808451666194e-10
20,2710336.798388765,2.0063878001101327e-10
21,2841271.9580836343,1.8693419137978487e-10
22,2978532.536838782,1.7416569172168965e-10
23,3122422.330542978,1.6235633833610968e-10
24,3273265.158167763,1.512666236336639e-10
25,3431397.0940368623,1.4085887153803554e-10
26,3597164.301167044,1.3130789640026436e-10
27,3770943.853722798,1.22273385011671e-10
28,3953111.9534828463,1.1404371290671041e-10
29,4144087.391067439,1.0619704677847996e-10
30,4344288.8809849275,9.889026283891768e-11
31,4554159.535705977,9.213558474644172e-11
32,4774168.947981994,8.584228348544745e-11
33,5004809.773405708,7.993598912666755e-11
34,5246583.907799611,7.455585689400372e-11
35,5500041.939151421,6.948816029255363e-11
36,5765747.604727597,6.473022071462765e-11
37,6044294.045392504,6.02549869727988e-11
38,6336296.012351458,5.6099177925416364e-11
39,6642393.322383179,5.2314047056710444e-11
40,6963285.70070838,4.873204007991484e-11
41,7299684.4771136865,4.5370973000887197e-11
42,7652325.644589295,4.2289184438681497e-11
43,8022000.408070298,3.94267855859063e-11
44,8409556.441128464,3.666499555355398e-11
45,8815850.752242824,3.404292612714285e-11
46,9241747.948241673,3.169384023850535e-11
47,9688229.620998643,2.9480503065293053e-11
48,10156137.673450563,2.7788666386396415e-11
49,10646490.927907627,2.655011570738714e-11
50,11160506.84206487,2.5393067115254747e-11
51,11699386.79662487,2.4194629080336633e-11
52,12264270.454963904,2.308077550797968e-11
53,12856453.446302032,2.1978112627105168e-11
54,13477227.559112893,2.093186781699286e-11
55,14127983.826679159,1.9924746229596006e-11
56,14810153.809438689,1.8976249755435142e-11
57,15525271.245338649,1.806322130792039e-11
58,16274890.699734086,1.7221791986890732e-11
59,17060724.12396872,1.64019667911231e-11
60,17884470.905468505,1.5646306677332595e-11
61,18748001.53951998,1.4917463190354054e-11
62,19653170.643924266,1.4260737310593282e-11
63,20601712.79784563,1.3839061845894734e-11
64,21595801.25180854,1.3567318533775049e-11
65,22637883.01012993,1.3286660721765524e-11
66,23730235.738180492,1.301878464166074e-11
67,24875283.899399936,1.2763148262714434e-11
68,26075598.620364904,1.2505826863605373e-11
69,27333832.496552005,1.225369339313872e-11
70,28652763.96375603,1.2013080317958405e-11
71,30035320.303158473,1.178350595963563e-11
72,31484462.104529407,1.1601765607935083e-11
73,33003594.82894476,1.1399179434134411e-11
74,34596014.217261106,1.12037331687649e-11
75,36265452.567510106,1.0959039154484112e-11
76,38015470.28876857,1.0714328179648118e-11
77,39849745.41228536,1.0522349195782145e-11
78,41772578.15075959,1.032163206130197e-11
79,43788071.578227885,1.0150825240066545e-11
80,45900957.67005578,9.952926460840008e-12
81,48115665.90416145,9.783675397966051e-12
82,50436979.83691625,9.66277093547742e-12
83,52870109.25396774,9.573074112083767e-12
84,55479270.19622223,9.59830616479221e-12
85,58093530.063001774,9.492346783498104e-12
86,69882954.68871567,9.284406103225749e-12
87,73397255.7423755,9.252573186728025e-12
88,77070280.62110303,9.125180170251943e-12
89,80787378.11971942,9.130072407704533e-12
90,84685587.9725984,8.950794639920139e-12
91,88770832.92648047,8.874363488089313e-12
92,93053628.71900705,8.756244290802201e-12
93,97542604.84035483,8.676822549567918e-12
94,102248307.5917832,8.584306998245262e-12
95,107178700.60887317,8.667526302738177e-12
96,112349273.06974962,8.575109871501908e-12
97,117766396.52349399,8.68147441127963e-12
98,123448169.08404547,8.561332653764886e-12
99,129401849.2700412,8.579707202501485e-12
100,135643283.99990246,8.561332653764886e-12
101,142184868.87260735,8.593513989251732e-12
102,149041590.42608252,8.644329236846636e-12
103,156222639.11051852,9.03272413561654e-12
104,163748840.34159702,9.484209919431443e-12
105,171637526.80556363,9.963601347517725e-12
106,179906152.19641384,1.047283596465303e-11
107,188573225.65266258,1.1002198750995682e-11
108,197656373.23359007,1.1639135645448416e-11
109,207165919.74628383,1.2949193048015166e-11
110,217131249.75130638,1.4515216361147475e-11
111,227575034.06036428,1.633178816838728e-11
112,238521017.24158117,1.8385554670373903e-11
113,249994340.3103094,2.0631133644638355e-11
114,262019103.76641124,2.3188239075706233e-11
115,274622260.0613098,2.606228240743574e-11
116,287831794.26750976,2.9276850142066356e-11
117,299743567.1870981,3.305579478021504e-11
118,310283138.5671985,3.725855276106079e-11
119,321221848.80603504,4.311089069443259e-11
120,331647812.22496545,4.976438400518401e-11
121,343736040.86714476,5.677083318308936e-11
122,353209545.26958317,6.550386198556616e-11
123,362205733.8983713,7.560210425320712e-11
124,370138122.64435464,8.59113260318898e-11
125,378242937.1163734,9.79407902204175e-11
126,387728301.726817,1.123449830870306e-10
127,395465492.4567028,1.279042366706149e-10
128,403866510.42139864,1.4751945589500226e-10
129,412447893.37384224,1.694087996776378e-10
130,419712156.1588805,1.9413874811889663e-10
131,429362194.29255426,2.2433738340658798e-10
132,435508570.71127826,2.538308244127328e-10
133,441074651.08141935,2.9133744704595705e-10
134,446415498.92408967,3.4115677344644867e-10
135,450172321.9677321,4.0548703929561653e-10
136,453565876.8213559,4.882396896957756e-10
137,458012720.8890678,5.823144863068743e-10
138,461678875.11168075,6.865405482475418e-10
139,465327258.6724363,7.960804202603331e-10
140,467260526.16295,9.046124389601246e-10
141,471198177.2246113,1.0636696850422382e-09
142,465029698.44869757,1.4514950384595157e-09
143,459014832.46093535,1.706425623339025e-09
144,452839971.71733373,1.986839467715989e-09
145,448673222.6875764,2.2753831449672026e-09
146,442295536.51009953,2.6484251342177445e-09
147,432214431.8292796,2.9974947875138046e-09
148,412046400.9872397,3.946834906067363e-09
149,401692335.30583715,4.526488785051227e-09
150,392416192.1014169,5.143498171133905e-09
151,380228158.00592864,5.9165798672918776e-09
152,368681509.2701897,6.809202484863908e-09
153,340954814.6320518,9.829208671188014e-09
154,330137047.5533847,1.1063987420152557e-08
155,318973452.389296,1.2652120039432942e-08
156,308187112.6834787,1.4478880977055985e-08
157,297765755.2917991,1.655718984501963e-08
158,287080800.05866855,1.897572817715772e-08
159,276185773.62940454,2.186002830781055e-08
160,266275816.26243412,2.4997832310623478e-08
161,257274517.63513258,2.8292614762686224e-08
162,248577112.46478108,3.206889160917913e-08
163,240173542.69274113,3.6375994641924024e-08
164,232054251.93981972,4.123117778730134e-08
165,223728326.1528212,4.704540152282552e-08
166,215237594.53331953,5.419627639266282e-08
167,207069095.34935203,6.243408026616183e-08
168,199639304.14297485,7.134331495577866e-08
169,192889402.81494626,8.122402968275989e-08
170,186366987.5596996,9.281455748096169e-08
171,180064840.39757356,1.06215474285462e-07
172,173975941.87381822,1.2146171896916696e-07
173,168092807.7269669,1.3899882128386853e-07
174,162408743.88328263,1.5895081090023022e-07
175,156916886.84616008,1.817667232892777e-07
176,151610737.13608736,2.0785764796166255e-07
177,146483900.08570006,2.3786892122646988e-07
178,141530542.1674284,2.7201279527179894e-07
179,136744574.8866674,3.1128703131978814e-07
180,132123113.85913959,3.495482077546174e-07
181,128199618.43091373,4.1027806964516586e-07
182,124401522.02037323,4.5031150541671895e-07
183,120194880.44553652,5.149495390145271e-07
184,116130395.44945176,5.892999008342756e-07
185,111445705.11544573,7.04340307794055e-07
186,107501214.46340911,7.793175352034435e-07
