,m_a [eV],G_ap[GeV^-1]
0,1e-20,2.6291153598071578e-11
1,1.0301549352000491e-10,2.6291153598071578e-11
2,1.0807390907976235e-10,2.6291153598071578e-11
3,1.1338071026677672e-10,2.6291153598071578e-11
4,1.1894809367089e-10,2.6291153598071578e-11
5,1.2478885477651408e-10,2.6291153598071578e-11
6,1.309164173704184e-10,2.6291153598071578e-11
7,1.3734486439354142e-10,2.6291153598071578e-11
8,1.4408897030772693e-10,2.6291153598071578e-11
9,1.5116423505178695e-10,2.6291153598071578e-11
10,1.585869196649149e-10,2.6291153598071578e-11
11,1.663740836593409e-10,2.6291153598071578e-11
12,1.7454362422810294e-10,2.6291153598071578e-11
13,1.8311431737806526e-10,2.6291153598071578e-11
14,1.921058610826985e-10,2.6291153598071578e-11
15,2.0153892055382178e-10,2.6291153598071578e-11
16,2.1143517573633088e-10,2.6360637691161966e-11
17,2.2181737113509398e-10,2.6461327929660428e-11
18,2.3270936808850622e-10,2.660138043903965e-11
19,2.4413619960887e-10,2.680498817646598e-11
20,2.5612412791561186e-10,2.680498817646598e-11
21,2.687007047935942e-10,2.6875830267391948e-11
22,2.818948349152117e-10,2.6891598362672763e-11
23,2.9573684227183764e-10,2.6938958177238958e-11
24,3.1025853986726675e-10,2.6978488396955035e-11
25,3.254933028333569e-10,2.703392817476401e-11
26,3.4147614513590054e-10,2.7129232977383145e-11
27,3.5824380004701345e-10,2.7288821534077423e-11
28,3.758348045689938e-10,2.7449348875419687e-11
29,3.942895880036899e-10,2.76108205238396e-11
30,4.1365056487093077e-10,2.7765098313384505e-11
31,4.3396223238955555e-10,2.7928427367692885e-11
32,4.5527127274512226e-10,2.810095702430059e-11
33,4.776266603792851e-10,2.8382553349910928e-11
34,5.019904392695029e-10,2.8583723068921994e-11
35,5.274054540926584e-10,2.857988130182541e-11
36,5.501258192926475e-10,2.9210713375515835e-11
37,5.79354177036963e-10,2.987518809232643e-11
38,6.692761103448489e-10,3.147979777605278e-11
39,7.008661152756911e-10,3.2070890004700165e-11
40,7.35281055608223e-10,3.3893753298284644e-11
41,7.713858880503539e-10,3.5702130906492427e-11
42,8.104399859883578e-10,3.7441087550983025e-11
43,8.496952156938423e-10,3.9763757197026684e-11
44,8.906901062450181e-10,4.181498010538095e-11
45,9.328438230904356e-10,4.3823986790729475e-11
46,9.820702365822631e-10,4.651801324961813e-11
47,1.0284461741552785e-09,4.929661674172437e-11
48,1.079828380124402e-09,5.1742062154802226e-11
49,1.1319264094408383e-09,5.4479693520370986e-11
50,1.186537990640712e-09,5.699983798446921e-11
51,1.2458186228773643e-09,6.000459194887617e-11
52,1.3062334118036204e-09,6.299307812615404e-11
53,1.3715439546090057e-09,6.611796060574338e-11
54,1.4370537404995849e-09,6.970016737148466e-11
55,1.509134926174279e-09,7.346671719368935e-11
56,1.5832386491336828e-09,7.670312158266348e-11
57,1.660981120134241e-09,8.010558690394385e-11
58,1.7425410142381124e-09,8.365898180962207e-11
59,1.8281057800684666e-09,8.737000136850794e-11
60,1.9178720706214914e-09,9.103181546925459e-11
61,2.0120461952328737e-09,9.518147379615161e-11
62,2.1108445937372637e-09,9.949111154544067e-11
63,2.213359289485601e-09,1.0317745796038574e-10
64,2.3226712449496874e-09,1.0858779136289576e-10
65,2.4354387714973844e-09,1.1444096921828028e-10
66,2.5532812391868577e-09,1.2030995040533999e-10
67,2.6825499970461587e-09,1.269554898452532e-10
68,2.8183634361188253e-09,1.3396810777118238e-10
69,2.9547343053211027e-09,1.4116554070869265e-10
70,3.0981889935130752e-09,1.4843009697087957e-10
71,3.25504560478569e-09,1.5662890397035736e-10
72,3.415219996960732e-09,1.6518304024439518e-10
73,3.574662519337889e-09,1.736030216191036e-10
74,3.749389737996426e-09,1.8259844071023095e-10
75,4.1161691253273484e-09,2.0137864277743057e-10
