,m_a [eV],G_ap[GeV^-1]
0,1.042962971046699e-12,1.0
1,1.042962971046699e-12,4.196810294605244e-16
2,1.670273831633013e-12,1.329631017112801e-16
3,2.886547766607891e-12,5.718682150528329e-17
4,4.6247530501651225e-12,2.368023643759528e-17
5,6.617927782163252e-12,1.30696703238294e-17
6,9.833021452545486e-12,6.308641880022207e-18
7,1.517898271864825e-11,3.830063658321934e-18
8,2.5268770632986633e-11,2.1125729623434084e-18
9,4.581226870343703e-11,1.331689847911054e-18
10,6.876065860947829e-11,9.604498453944874e-19
11,1.0617407861174055e-10,6.926201613688853e-19
12,1.7191452702466623e-10,5.600977673737077e-19
13,2.5820064484522885e-10,6.036050413163746e-19
14,4.3041306695444474e-10,7.577029951865673e-19
15,6.714681300467042e-10,8.98354522232473e-19
16,1.4727107088429445e-09,1.2394450473871595e-18
17,3.1399051414471463e-09,1.776925176427239e-18
18,5.646160417747848e-09,2.4071392494037184e-18
19,1.427432646832894e-08,3.867850174089e-18
20,2.5187137560491485e-08,5.2400547609177514e-18
21,4.793535943613771e-08,7.096849109671068e-18
22,8.299241327902692e-08,9.254536681577562e-18
23,1.6096411412634844e-07,1.2532863738448174e-17
24,2.5838727823118457e-07,1.6664084359889194e-17
25,3.4981396980250663e-07,2.053984733058309e-17
26,4.6470359343418775e-07,2.4839421951691716e-17
27,5.110802501618025e-07,3.503253626163523e-17
28,5.21181645043151e-07,5.234255111201969e-17
29,5.215911384776908e-07,8.442958708918032e-17
30,5.221157595910264e-07,1.556946118423727e-16
31,5.221157595910264e-07,1.0
