,m_a [eV],G_ap[GeV^-1]
0,1.946587148609258e-05,1.0
1,1.946587148609258e-05,8.411098551996786e-14
2,1.9465876365472996e-05,8.330165895521936e-14
3,1.9466023397469485e-05,8.238436303783272e-14
4,1.9466901815321603e-05,8.141832457443896e-14
5,1.946717525653933e-05,8.065732260472875e-14
6,1.9467970270254863e-05,8.02253505637681e-14
7,1.947040966474208e-05,8.243157966851021e-14
8,1.947041478703537e-05,8.158196195443443e-14
9,1.9472800041522844e-05,6.818016248580502e-14
10,1.947283844288039e-05,7.857523676653202e-14
11,1.9472850741136937e-05,7.653536594765458e-14
12,1.947285562051735e-05,7.57260393829061e-14
13,1.9472860499897766e-05,7.49167128181576e-14
14,1.9472865379278178e-05,7.410738625340912e-14
15,1.9472868585448597e-05,8.047865158073581e-14
16,1.947287023093484e-05,7.330265813505125e-14
17,1.947288129271203e-05,7.146787802519531e-14
18,1.9472886172092446e-05,7.065855146044681e-14
19,1.947289105147286e-05,6.984922489569833e-14
20,1.9472895930853275e-05,6.903989833094984e-14
21,1.9472964361604474e-05,7.754909646853546e-14
22,1.9472974565496316e-05,7.946744343853896e-14
23,1.947304612705403e-05,6.759776639884751e-14
24,1.947314322672428e-05,7.235475552364248e-14
25,1.9474068312892862e-05,8.154715097083671e-14
26,1.9475471226087328e-05,8.229962591424254e-14
27,1.9476945024490084e-05,8.142507544015528e-14
28,1.9476986071485713e-05,8.299903682471303e-14
29,1.947767521003925e-05,8.21342430405862e-14
30,1.9478951005371626e-05,8.019133093207828e-14
31,1.947966200502802e-05,8.117693817526766e-14
32,1.9480916601583415e-05,7.925264506341585e-14
33,1.9481081246751577e-05,7.734676846697941e-14
34,1.948112919036065e-05,7.565329817112706e-14
35,1.948123725015433e-05,7.415906825646593e-14
36,1.9481245748408553e-05,7.822592044405923e-14
37,1.948125510794735e-05,7.667348494258713e-14
38,1.9481269077022035e-05,7.279178700565515e-14
39,1.948136897494302e-05,7.186899266726811e-14
40,1.9483138823697434e-05,8.081760183610175e-14
41,1.9483386820534425e-05,7.984367458467985e-14
42,1.9486149928115566e-05,8.021512428366132e-14
43,1.9486171689940988e-05,8.107611736137007e-14
44,1.9486465044205906e-05,7.935924575419656e-14
45,1.9488765272849302e-05,7.961334417151436e-14
46,1.9488849286908436e-05,8.028202366369333e-14
47,1.948903041014311e-05,7.855322843734822e-14
48,1.9490302717227355e-05,7.296219432594864e-14
49,1.9490303225540364e-05,7.60222434550146e-14
50,1.9490357705469904e-05,6.478977727214425e-14
51,1.9490426277310967e-05,5.490617940807115e-14
52,1.949048960835408e-05,7.741499608126733e-14
53,1.9490522322950555e-05,5.573998877451838e-14
54,1.949054370720487e-05,6.392825940874015e-14
55,1.9490549597435946e-05,7.468647203090743e-14
56,1.949056490663417e-05,7.21471863522327e-14
57,1.9490569786014586e-05,7.13378597874842e-14
58,1.9490574665395e-05,7.052853322273572e-14
59,1.9490579544775415e-05,6.971920665798724e-14
60,1.949058442415583e-05,6.890988009323874e-14
61,1.9490589303536245e-05,6.810055352849025e-14
62,1.9490594182916656e-05,6.729122696374177e-14
63,1.949059906229707e-05,6.648190039899327e-14
64,1.949060391703415e-05,6.567666134214757e-14
65,1.949061961483882e-05,6.307291880808299e-14
66,1.9490624494219234e-05,6.22635922433345e-14
67,1.949062937359965e-05,6.145426567858602e-14
68,1.9490634252980063e-05,6.064493911383752e-14
69,1.9490639132360475e-05,5.983561254908904e-14
70,1.949064401174089e-05,5.902628598434056e-14
71,1.9490648891121304e-05,5.821695941959206e-14
72,1.949065377050172e-05,5.740763285484358e-14
73,1.949067297382085e-05,7.37811183496942e-14
74,1.949067639308364e-05,5.36553006001006e-14
75,1.949076505364367e-05,5.655227746818516e-14
76,1.9490823273523618e-05,5.276314285631598e-14
77,1.9491655640374823e-05,7.899410643891302e-14
78,1.9491753479345134e-05,7.841282338580243e-14
79,1.9491949024211745e-05,7.72723298222562e-14
80,1.949195390359216e-05,7.646300325750772e-14
81,1.9491958782972575e-05,7.565367669275922e-14
82,1.9492440621788505e-05,8.022615886517008e-14
83,1.949502658251317e-05,8.102336628561638e-14
84,1.949697315285761e-05,8.033696784694642e-14
85,1.9497431264018972e-05,8.149210899547582e-14
86,1.949940598168818e-05,7.964936287057399e-14
87,1.9499739775666534e-05,8.061305528843512e-14
88,1.950150369069694e-05,8.175378092179155e-14
89,1.9502832378724236e-05,8.087295376117895e-14
90,1.95045761003015e-05,8.178665653944132e-14
91,1.9504797320003147e-05,8.017034057304398e-14
92,1.950589806386665e-05,8.129472838994005e-14
93,1.9507143533110447e-05,8.242603590377264e-14
94,1.950903231169689e-05,8.129709710734125e-14
95,1.951059700801944e-05,8.228769843447e-14
96,1.9512074335540797e-05,8.134058372276857e-14
97,1.9514327596787245e-05,8.227276188483757e-14
98,1.9515153860380388e-05,8.142268151614239e-14
99,1.9516823782961104e-05,8.217138906022644e-14
100,1.951836389861271e-05,8.153914732755943e-14
101,1.952013917633303e-05,8.250889402618882e-14
102,1.952021092786846e-05,8.364682336853946e-14
103,1.9522138651042684e-05,8.14426640720359e-14
104,1.9523826423074582e-05,8.245217163959274e-14
105,1.9525155441674618e-05,8.16282773431306e-14
106,1.9526160388092126e-05,8.258695941885186e-14
107,1.9528347871363656e-05,8.147685626505802e-14
108,1.9531328528549705e-05,8.147591956980758e-14
109,1.9534306270781224e-05,8.156401597348143e-14
110,1.953663986826102e-05,8.120094669837373e-14
111,1.953761362710228e-05,8.21742759494227e-14
112,1.9539680441844638e-05,8.278889488908469e-14
113,1.954206873344718e-05,8.199696586199182e-14
114,1.954264060105633e-05,8.281305850091506e-14
115,1.9545628455856562e-05,8.196890926031966e-14
116,1.9545794249582566e-05,8.295471294248639e-14
117,1.9547391851168627e-05,8.155663551855147e-14
118,1.9547666176297988e-05,8.299606319557156e-14
119,1.9549629076492645e-05,8.078646123965404e-14
120,1.954999583401255e-05,7.732573028723676e-14
121,1.9550046180346826e-05,7.940624552352231e-14
122,1.9550115526692715e-05,7.572746869636085e-14
123,1.955012040607313e-05,7.491814213161236e-14
124,1.9550125285453545e-05,7.410881556686388e-14
125,1.9550130778453013e-05,7.319771005533641e-14
126,1.9550185316618646e-05,7.823389305593648e-14
127,1.9550192635689265e-05,8.171398545555397e-14
128,1.955025236057291e-05,7.650170033508056e-14
129,1.955237177380668e-05,8.24341092121097e-14
130,1.955291422101045e-05,8.092559586858398e-14
131,1.955312891374869e-05,8.158768074446134e-14
132,1.9555506641369417e-05,8.21982787476924e-14
133,1.9557777610364574e-05,8.163356143752232e-14
134,1.955943495845936e-05,8.234444365082271e-14
135,1.956174220740917e-05,8.148670200236494e-14
136,1.956201803591378e-05,8.240064735388267e-14
137,1.956444847008423e-05,8.139901208533179e-14
138,1.9565341460772753e-05,8.244912572333402e-14
139,1.9567839095162626e-05,8.151485498363877e-14
140,1.956817253643324e-05,8.227626751131719e-14
141,1.95702306430739e-05,8.089996433540669e-14
142,1.9571440179982327e-05,8.27104060151043e-14
143,1.9571445039200014e-05,8.190442377500352e-14
144,1.9573585346486366e-05,8.156278052093204e-14
145,1.9574555200634205e-05,8.238136103151711e-14
146,1.9576668464324262e-05,8.157048435616421e-14
147,1.9577473853588108e-05,8.109401264746162e-14
148,1.957839089546791e-05,8.247637139498173e-14
149,1.9580536821274718e-05,8.269298772157275e-14
150,1.9581821994100317e-05,8.187699478254369e-14
151,1.9582768976224473e-05,8.127363468054824e-14
152,1.9584744919632503e-05,8.211624534063314e-14
153,1.9585654504503014e-05,8.101001126204037e-14
154,1.9587621752926194e-05,8.022132384275938e-14
155,1.958804038317097e-05,8.203398324982199e-14
156,1.9588829344131272e-05,8.137655904955784e-14
157,1.959097141061573e-05,8.20470352051783e-14
158,1.959269531050217e-05,8.166617738482622e-14
159,1.9595305271465988e-05,8.175964917697134e-14
160,1.9595845731865465e-05,8.008829418945913e-14
161,1.9596266816501514e-05,8.114800917424616e-14
162,1.9599054107968817e-05,8.155744901745693e-14
163,1.960224699338354e-05,8.161313506965387e-14
164,1.9605407543157695e-05,8.155579674902567e-14
165,1.9606795731629787e-05,8.048326481312769e-14
166,1.9607725188366386e-05,7.787793814747756e-14
167,1.960788973279715e-05,7.470786899956016e-14
168,1.9607990892808958e-05,7.553160346638968e-14
169,1.9608004688148127e-05,7.324341654241896e-14
170,1.9608049240644683e-05,7.668613993984674e-14
171,1.960807614334745e-05,7.899418924052006e-14
172,1.9608142153601806e-05,7.391289119288768e-14
173,1.960868011761417e-05,8.117206208063122e-14
174,1.9608817856696883e-05,8.21221287289381e-14
175,1.960945610104199e-05,8.061817377961276e-14
176,1.9611579272663185e-05,8.228601583496879e-14
177,1.9611916724002436e-05,8.153858405132111e-14
178,1.9614112371258947e-05,8.11452665605773e-14
179,1.9614809753008186e-05,8.226611727350259e-14
180,1.961785358690508e-05,8.256819574855955e-14
181,1.9618084068628324e-05,8.189161856024306e-14
182,1.9620065917699672e-05,8.108409335290473e-14
183,1.9620404036583394e-05,8.200101131193546e-14
184,1.962123159059119e-05,8.262605255002977e-14
185,1.962396014381547e-05,8.283337446664081e-14
186,1.962436698064003e-05,8.185220499529507e-14
187,1.9626555271860913e-05,8.267900861352815e-14
188,1.9627225876161877e-05,8.175904135858125e-14
189,1.9628650053945523e-05,8.076109667594388e-14
190,1.962889085937806e-05,7.961087638790474e-14
191,1.9629243810469292e-05,7.876614967181584e-14
192,1.9629766015068652e-05,7.820798798173596e-14
193,1.9630603050599752e-05,8.01941619584521e-14
194,1.9631061490568695e-05,8.238895655555627e-14
195,1.9631160691195304e-05,8.158182011123623e-14
196,1.9631576547480628e-05,8.08826842045752e-14
197,1.9634420422125196e-05,8.210118734020966e-14
198,1.96368770466527e-05,8.163360875272634e-14
199,1.9637269991064775e-05,8.258256145594411e-14
200,1.9640071399578044e-05,8.22282307504367e-14
201,1.9640320632415216e-05,8.313555104564261e-14
202,1.9640958315684384e-05,8.180848278958107e-14
203,1.9643320954022807e-05,8.305492522109685e-14
204,1.9643443639188e-05,8.226422184896062e-14
205,1.9644176784577778e-05,8.192363123869573e-14
206,1.9646278996628017e-05,8.26850708740431e-14
207,1.9646650598411585e-05,8.363648499646126e-14
208,1.9648135773379077e-05,8.243086994044993e-14
209,1.9648267738440287e-05,8.401267635481695e-14
210,1.964898136366805e-05,8.299809474520444e-14
211,1.964915504637566e-05,8.157206941549887e-14
212,1.9651015706212283e-05,7.936988228716359e-14
213,1.965102075745596e-05,7.758374989234622e-14
214,1.9651054030260167e-05,8.031510592861905e-14
215,1.965112705536317e-05,6.239095463358191e-14
216,1.9651173132239585e-05,7.151291618502109e-14
217,1.965117801162e-05,7.070358962027259e-14
218,1.9651223016511324e-05,6.323877831283864e-14
219,1.9651234446090294e-05,6.134299214753385e-14
220,1.9651240526548964e-05,7.658319297479418e-14
221,1.965129012031369e-05,7.557890552729665e-14
222,1.9651294999694105e-05,7.476957896254817e-14
223,1.965129987907452e-05,7.396025239779967e-14
224,1.965130475845493e-05,7.315092583305119e-14
225,1.965133018333614e-05,6.89337855367932e-14
226,1.9651335062716554e-05,6.812445897204472e-14
227,1.965133994209697e-05,6.731513240729623e-14
228,1.9651344821477384e-05,6.650580584254774e-14
229,1.96513497008578e-05,6.569647927779926e-14
230,1.9651354580238213e-05,6.488715271305078e-14
231,1.9651359427934337e-05,6.408308151560583e-14
