,m_a [eV],G_ap[GeV^-1]
0,626.8536751392338,1.0
1,626.8536751392338,5.237966393674862e-17
2,635.1494933844032,4.99577210390486e-17
3,640.6571323302918,5.276972260450568e-17
4,648.3334386089388,4.663189731113933e-17
5,647.6212235144754,5.022316999402714e-17
6,659.4770019211672,4.3097118713284245e-17
7,658.209556998844,4.663189731113933e-17
8,670.2676452317645,4.0357029709948796e-17
9,668.971005263744,4.329742322309183e-17
10,686.0943995265974,3.983028245653683e-17
11,706.2891779864516,3.9365132929389816e-17
12,725.7585155010153,3.88333209845621e-17
13,745.7845930840762,3.900777869879241e-17
14,763.1831990661672,4.1207983281136473e-17
15,784.3064189741948,4.37458837524398e-17
16,774.8088336213377,4.1207983281136473e-17
17,805.9895828323862,4.5492807667141686e-17
18,796.2489451007567,4.356594481744134e-17
19,825.3140398592092,4.6181035283252487e-17
20,850.0742931650567,4.663189731113933e-17
21,874.2653143341624,4.4795049953270567e-17
22,893.7228574809031,4.300100656113444e-17
23,917.2531955979867,4.2554335107044343e-17
24,915.0219493584761,3.970734443392873e-17
25,929.3033207779316,3.805912706776131e-17
26,943.7642077435811,3.5368885214552706e-17
27,944.9672905100235,3.802552678464698e-17
28,959.6790142183162,3.3266740372299765e-17
29,957.8335121036179,3.5967434622714917e-17
30,976.9649354615896,3.1882346742749444e-17
31,985.9110451607745,3.2849457195171425e-17
32,1002.3085976495602,3.1563635215448126e-17
33,1026.6133644057538,3.1501358243312276e-17
34,1051.7060883446309,3.064753593449582e-17
35,1077.4418505375982,3.037505723891961e-17
36,1087.1880840548736,2.905855316075867e-17
37,1115.1640435324211,2.922069656124477e-17
38,1115.0779277171152,2.77418768682662e-17
39,1145.860046779973,2.8087042558598825e-17
40,1154.1383067147883,2.7008500062433986e-17
41,1172.617422717108,3.01050010754422e-17
42,1180.7277043292133,2.8879448838404956e-17
43,1193.022187830728,3.203052782831824e-17
44,1223.4985896737096,3.318970111422949e-17
45,1257.3280266831762,3.4593413606303846e-17
46,1289.452194413629,3.5939648650293645e-17
47,1316.2061760549952,3.912855079392819e-17
48,1349.7874979836192,3.970734443392873e-17
49,1349.663410756212,3.732673301949008e-17
50,1367.5385854318374,3.584058814737209e-17
51,1377.9973770121069,3.226477652286272e-17
52,1387.4879551023819,2.948513487156804e-17
53,1395.0630844528675,2.7064218731500624e-17
54,1394.4048623212477,3.62651583299886e-17
55,1398.0589213989704,3.381104550549792e-17
56,1402.206967033569,2.5167827644820324e-17
57,1408.7400281697528,2.331147966497218e-17
58,1409.329125919763,3.0880003083550766e-17
59,1416.259042086198,2.1513529539947203e-17
60,1416.8467095432088,2.843650281610663e-17
61,1423.8097731056719,1.9775495169935355e-17
62,1431.395825715598,1.8135776672394102e-17
63,1428.2508608553578,2.5758158106967793e-17
64,1433.8027568145435,1.6572142198906984e-17
65,1435.8605755625324,2.3622377033086073e-17
66,1438.825849523295,1.5172998694421986e-17
67,1443.510834798341,2.1663687845068386e-17
68,1441.247703598997,1.3880534128181566e-17
69,1447.2847063705522,2.011459784581412e-17
70,1446.300424209283,1.272960625658348e-17
71,1465.9723411034145,1.192948141156707e-17
72,1469.844122647252,1.1276836397207119e-17
73,1481.1479729207201,1.0444609566841887e-17
74,1488.2975412016376,9.707752363909599e-18
75,1498.119773797366,1.1318746452769603e-17
76,1505.7556302936557,5.5445397494575616e-17
77,1507.4824038438578,1.0444609566841887e-17
78,1528.3915819552853,9.545733112621757e-18
79,1526.0117425811068,4.7066371166339834e-17
80,1564.9971132923642,9.527950669026175e-18
81,1589.4439652194503,9.213471936310006e-18
82,1629.514088888173,9.321517577833977e-18
83,1629.3672820537072,8.77349792060227e-18
84,1666.2015135628012,8.225849382311533e-18
85,1665.2616211309469,8.893648628133885e-18
86,1685.382296969351,7.59057423120107e-18
87,1702.887857638675,7.104308841593233e-18
88,1697.1311575877721,8.360439426109074e-18
89,1713.564336301447,6.644057747271008e-18
90,1715.5162780760209,7.762615399240773e-18
91,1729.0155517030782,6.235615084577488e-18
92,1734.0686809733477,7.118965065832894e-18
93,1759.4249944378919,5.821064168324669e-18
94,1752.8378329827108,6.569173622085812e-18
95,1767.092571597524,6.290934110067987e-18
96,1799.8317604670722,5.698410824127985e-18
97,1841.423809204306,5.6492999664414315e-18
98,1886.1675701927957,5.8845899381481525e-18
99,1899.7906848169528,5.6516289520983526e-18
100,1931.0414085481148,6.333863961705985e-18
101,1927.6943101989527,5.913767876379728e-18
102,1965.266678191172,7.017002972328832e-18
103,1965.0378338443045,6.4884441062085185e-18
104,1996.761471963614,7.582365960169544e-18
105,2025.418921816714,8.105945385356852e-18
106,2058.9847648859204,8.72121903675125e-18
107,2074.1681472013906,9.2678829966967e-18
108,2083.408481276518,1.015802604313272e-17
109,2096.885573471342,1.1091132797348843e-17
110,2105.3064349734136,1.2025750159554858e-17
111,2119.6321881038266,1.3120248446417611e-17
112,2112.1214284497205,9.210759784312591e-18
113,2104.3234219704204,8.784353305854972e-18
114,2121.9632328322314,9.94057531301014e-18
115,2139.731240345055,1.1179648755854051e-17
116,2127.9411783037626,1.0574561872827181e-17
117,2163.3833878205073,1.2022033190141188e-17
118,2175.558822392339,1.347465840365056e-17
119,2175.3588212345735,1.2666799654628341e-17
120,2216.9320968008424,1.1698193254005351e-17
121,2217.2718128436127,1.2967917214050722e-17
122,2234.8514429599486,1.0839337219455302e-17
123,2271.4286042781064,1.0178982101046311e-17
124,2308.56903993817,9.460864661454752e-18
125,2333.627961921385,8.911996269193567e-18
126,2352.4905546532887,8.25769678811234e-18
127,2393.1335841943614,7.690958006597788e-18
128,2414.721991972052,7.237308606712243e-18
129,2427.6731748987227,6.79639661318465e-18
130,2453.983579871473,6.3299491721995484e-18
131,2467.1755819289547,5.9935200260327396e-18
132,2456.7751777211483,7.388008379658116e-18
133,2490.0651983810635,6.692155120813542e-18
134,2530.7162199139966,6.114539285938057e-18
135,2562.0213486226608,6.992942317483586e-18
136,2563.2778691596714,6.475085971857852e-18
137,2615.343313868875,7.174195704594021e-18
138,2600.926619615511,6.775419218374632e-18
139,2746.8510837145564,7.554290644584811e-18
140,2776.669146155528,7.118965065832894e-18
141,2793.7078409968954,6.645035862465152e-18
142,2807.265089716658,7.479930315028799e-18
143,2819.6435771354422,6.25768408053874e-18
144,2842.132240536293,5.889442911326426e-18
145,2845.3566681573734,6.85971929161439e-18
146,2906.0450343031375,6.322126850566782e-18
147,2918.6636693418864,5.745579937352881e-18
148,2964.22513747173,7.376597852026167e-18
149,2963.8831489730564,6.825874123870134e-18
150,2986.6863348656675,6.335542469709659e-18
151,2970.9707721768223,5.457052757163234e-18
152,2987.520983068507,5.886409334290731e-18
153,3040.4183749633667,7.282192886219202e-18
154,3020.9609934514006,6.94506823018909e-18
155,3112.748240417359,6.930770017401121e-18
156,3163.650054499846,6.4484521500246236e-18
157,3235.237401703696,6.132522575817555e-18
158,3293.668280070779,5.810220292425586e-18
159,3298.1268385380063,1.1110742248241904e-17
160,3300.811372829127,1.0433852567221511e-17
161,3330.679783573919,1.0002224689187732e-17
162,3286.3226738249514,6.213623919420219e-18
163,3327.670112789644,5.445818007707797e-18
164,3339.4283477618646,5.087766539427294e-18
165,3340.1140757981834,5.841092735618331e-18
166,3401.0884142107247,4.8447373995355e-18
167,3416.351621272501,9.989864302645431e-18
168,3416.0940830531986,9.496025707484294e-18
169,3394.6611119370973,5.356768691029641e-18
170,3438.9656193221354,4.525206445234777e-18
171,3498.6771377366913,4.869404451463453e-18
172,3530.346043922304,1.1179648755854051e-17
173,3522.32764053434,4.459080723059213e-18
174,3553.29115510559,1.219043959167702e-17
175,3545.8151218147373,5.442612329675072e-18
176,3574.7637052609048,1.3292619534268653e-17
177,3570.5020594820453,5.959648306228266e-18
178,3588.285630386538,1.990839322897283e-17
179,3591.174426388879,1.8584130646878093e-17
180,3590.8508888673878,1.749155437675771e-17
181,3586.6365613412236,1.461443052789549e-17
182,3584.6586788352874,1.0085019012627515e-17
183,3587.54455491312,9.414185703051218e-18
184,3587.214748586062,8.849768256812331e-18
185,3586.884972578408,8.319189855570779e-18
186,3586.555226887367,7.820421715535419e-18
187,3586.225511510156,7.351556686480003e-18
188,3585.895826443992,6.910801959332584e-18
189,3585.5661716860845,6.49647221097368e-18
190,3587.4829887636965,5.056407752453433e-18
191,3569.2631130571117,4.719093968066679e-18
192,3618.0064695954857,3.1653204244852264e-17
193,3613.1770674608483,2.9076524571885334e-17
194,3606.2986799286755,2.734454104528337e-17
195,3616.336353543286,2.3204204328384632e-17
196,3611.5032780636216,2.1291886758789433e-17
197,3614.3420928238284,1.601258710546222e-17
198,3635.8492962392966,5.022316999402714e-17
199,3635.5150492121757,4.721209349265044e-17
200,3635.1808329127007,4.43815428660487e-17
201,3634.8466473380427,4.172069487826383e-17
202,3634.512492485373,3.921937518888597e-17
203,3634.178368351872,3.686801944921492e-17
204,3633.844274934719,3.465763673085938e-17
205,3632.1742684952847,2.544161241134557e-17
206,3627.8358427029257,1.1388942959103831e-17
207,3627.5023323600853,1.0706131051298109e-17
208,3647.9697523975733,1.2115303007615884e-17
209,3637.008257206732,5.423417850059873e-18
210,3668.5526555539186,1.370995425546836e-17
211,3668.2154020763824,1.288798859502718e-17
212,3660.803664544196,6.0868791100334435e-18
213,3668.822480660762,5.7693107100747415e-18
214,3690.608630703104,1.9867406670854213e-17
215,3690.2693495991393,1.8676277529125044e-17
216,3689.9300996856073,1.7556561262552887e-17
217,3688.912537058907,1.4584342956321267e-17
218,3686.8782535600935,1.0064256401946885e-17
219,3686.539315393189,9.460864661454752e-18
220,3686.200408385187,8.893648628133885e-18
221,3685.8615325332275,8.360439426109074e-18
222,3685.522687834442,7.859198212140818e-18
223,3685.1838742859627,7.388008379658116e-18
224,3684.8450918849335,6.94506823018909e-18
225,3684.506340628484,6.528684084169144e-18
226,3703.3882619749097,3.257977514693431e-17
227,3713.124907809196,3.0550842094275575e-17
228,3712.804036940632,2.882593311676914e-17
229,3702.366988025072,2.7064218731500624e-17
230,3718.4791190746973,2.3768878091834415e-17
231,3711.37752139882,2.2261107598636346e-17
232,3711.0363309913078,2.0926466675077684e-17
233,3716.4285308222993,1.6402253033905554e-17
234,3709.3308493853738,1.536178183240655e-17
235,3715.8705109735574,5.022316999402714e-17
236,3715.528907521307,4.721209349265044e-17
237,3715.187335472981,4.43815428660487e-17
238,3714.845794825697,4.172069487826383e-17
239,3714.504285576564,3.921937518888597e-17
240,3714.1628077226924,3.686801944921492e-17
241,3713.821361261199,3.465763673085938e-17
242,3712.114599738424,2.544161241134557e-17
243,3736.6205925176796,1.1388942959103831e-17
244,3727.4763193242306,1.0522388043958504e-17
245,3730.229104986963,5.103518787953749e-18
246,3755.4687016538855,1.2240789348269726e-17
247,3750.948523102106,5.445818007707797e-18
248,3743.3438098982197,4.711805487957662e-18
249,3753.349405787903,1.364231071470283e-17
250,3728.6004993419388,1.288798859502718e-17
251,3754.939340880147,6.049362226373739e-18
252,3724.1468978955427,5.7693107100747415e-18
253,3756.539159012073,4.3771363538135035e-18
254,3761.256255333049,1.8734101205370406e-17
255,3750.741622373868,1.7775000794125602e-17
256,3767.693483211862,9.490156471577621e-18
257,3767.3067081477316,8.857066588291005e-18
258,3766.9603761177564,8.326050623382708e-18
259,3766.6256187532003,7.84301802720159e-18
260,3755.986626796548,7.297216086121778e-18
261,3755.641335432245,6.85971929161439e-18
262,3745.228477599929,6.60991426767746e-18
263,3788.612288138247,4.049512465762325e-18
264,3770.309586528282,1.5135521382208533e-17
265,3827.1423992569275,3.821466497276255e-18
266,3805.4116832657282,5.098262626934725e-18
267,3815.3955145452883,4.763062218718745e-18
268,3844.968283677645,3.536344773081239e-18
269,3835.723926140524,4.3681248905831305e-18
270,3897.970495780007,3.7425524057798175e-18
271,4142.639717170351,7.376597852026167e-18
272,4042.6633779435897,1.949356585248427e-18
273,4127.792969001584,1.823067945270958e-18
274,4123.321635141496,1.983805243972366e-18
275,4218.1630352944385,1.6892222417342497e-18
276,4213.580897641676,1.834374232685568e-18
277,4310.604047996487,1.5879467269012927e-18
278,4294.193481219914,1.7173033658260694e-18
279,4424.11003532955,1.574910264129387e-18
280,4419.665340959592,1.4743985438041422e-18
281,4475.738444489385,1.3860025542749938e-18
282,4527.14875492308,1.2853800363920339e-18
283,4521.1197947061555,1.4927430773630585e-18
284,4572.616957669139,1.1903091280374832e-18
285,4582.431437235128,1.3619347032962863e-18
286,4622.128100861975,1.1012968420182132e-18
287,4636.198670775977,1.2502952835700065e-18
288,4646.265051706089,1.004421008237824e-18
289,4670.950550757429,9.119296048718906e-19
290,4686.422880489288,1.1608913033361434e-18
291,4724.693904235335,8.382566636952397e-19
292,4717.697118309972,7.725629484128685e-19
293,4720.005085020323,1.0734466501986083e-18
294,4750.334948159659,7.20749239709089e-19
295,4745.182335867652,9.885060117618034e-19
296,4770.5231246361045,9.14046357292464e-19
297,4830.288940161376,6.637660080044981e-19
298,4819.862264797478,6.123146246336791e-19
299,4810.682293839492,5.754853426387122e-19
300,4808.920904145366,8.279552074491275e-19
301,4808.478815547928,7.783160375273757e-19
302,4834.2761435971115,7.316529310065863e-19
303,4908.348258393441,5.437771773836333e-19
304,4899.331554667883,6.230069247178561e-19
305,4898.88115453477,5.856552101320234e-19
306,4982.207197884723,4.986889766263469e-19
307,4978.8842446426415,5.370946217380128e-19
308,5059.555290627427,4.52481350922151e-19
309,5188.4455404461705,4.475491727932596e-19
310,5284.339451339516,4.3125112515168297e-19
311,5320.828225845386,3.988256476604737e-19
312,5410.519334340463,3.735097865818559e-19
313,5428.327087180832,3.4555298592187643e-19
314,5400.120889455403,4.041446512576735e-19
315,5523.907004230919,3.2685028928638424e-19
316,5518.160103905332,3.6607953841933777e-19
317,5639.028331712834,3.415879083920648e-19
318,5669.33365101338,3.230998174616237e-19
319,5801.618295846671,3.422455809025232e-19
320,5954.775275924111,3.547166018083031e-19
321,6132.968619822879,3.782739307851861e-19
322,6069.328340283154,3.560348964050397e-19
323,6195.940288964598,4.174779462186054e-19
324,6264.616111247874,4.5804677766155795e-19
325,6254.358414770831,3.7991459045697565e-19
326,6340.139245873361,4.986889766263469e-19
327,6323.681743750253,4.168331657315972e-19
328,6393.71467174397,4.545204985977566e-19
329,6508.147317101089,5.207453159676137e-19
330,6446.777517534435,4.865073695804044e-19
331,6683.11286680454,5.316882050070869e-19
332,6836.150728485544,5.905030243332213e-19
333,6845.591463774536,5.40425570635427e-19
334,7024.936837371617,6.019712195088972e-19
335,6940.073711532741,5.784580093416458e-19
336,7210.147370642651,6.100474000742103e-19
337,7368.015447513111,5.660750802230861e-19
338,7389.18003331646,6.249358182383838e-19
339,7408.7364740421735,5.929419588210863e-19
340,7452.228489136207,5.203877076336197e-19
