,m_a [eV],G_ap[GeV^-1]
0,4.4768,6.2834e-11
1,4.4874,8.9007e-12
2,4.5158,9.8751e-12
3,4.5208,1.2872e-11
4,4.55,1.0564e-11
5,4.5542,1.9407e-11
6,4.5828,1.9813e-11
7,4.6056,2.0653e-11
8,4.6117,1.7579e-11
9,4.6173,1.9004e-11
10,4.6349,1.6008e-11
11,4.652,1.6344e-11
12,4.6516,1.9201e-11
13,4.6691,1.7215e-11
14,4.6743,2.0974e-11
15,4.6916,2.0435e-11
16,4.7037,1.5676e-11
17,4.7161,1.0838e-11
18,4.7277,1.013e-11
19,4.7385,1.3273e-11
20,4.7551,1.7211e-11
21,4.7625,8.5321e-12
22,4.7782,1.5511e-11
23,4.7894,1.7755e-11
24,4.8119,2.0535e-11
25,4.8294,1.8411e-11
26,4.8411,1.6506e-11
27,4.8524,1.7844e-11
28,4.8698,1.6505e-11
29,4.8811,1.7205e-11
30,4.8984,1.6763e-11
31,4.9156,1.6418e-11
32,4.9329,1.5996e-11
33,4.9502,1.5585e-11
34,4.9674,1.5027e-11
35,4.9854,1.1232e-11
36,5.0142,1.0388e-11
37,5.0192,1.3683e-11
38,5.0431,9.3621e-12
39,5.0545,9.8101e-12
40,5.0601,1.0173e-11
41,5.06,1.055e-11
42,5.0656,1.0998e-11
43,5.0827,1.1706e-11
44,5.0826,1.2203e-11
45,5.0939,1.2654e-11
46,5.111,1.3468e-11
47,5.1218,1.7739e-11
48,5.1277,1.5988e-11
49,5.1617,1.8977e-11
50,5.1978,9.6548e-12
51,5.209,1.0546e-11
52,5.2266,9.0703e-12
53,5.2374,1.1762e-11
54,5.2549,1.0221e-11
55,5.2659,1.2388e-11
56,5.2832,1.1883e-11
57,5.2946,1.2323e-11
58,5.3348,1.1944e-11
59,5.3692,1.1576e-11
60,5.3922,1.1278e-11
61,5.4204,1.3884e-11
62,5.4379,1.1879e-11
63,5.4501,8.8325e-12
64,5.4499,9.8511e-12
65,5.473,9.2069e-12
66,5.4894,1.2253e-11
67,5.5013,1.0268e-11
68,5.5186,9.9523e-12
69,5.5531,9.5958e-12
70,5.5761,9.3491e-12
71,5.5991,9.1087e-12
72,5.6278,8.8284e-12
73,5.6451,8.5569e-12
74,5.6852,8.38e-12
75,5.7139,8.3794e-12
76,5.754,8.3785e-12
77,5.7826,8.3779e-12
78,5.8113,8.2476e-12
79,5.8286,7.9114e-12
80,5.8345,7.5105e-12
81,5.846,7.242e-12
82,5.869,7.0925e-12
83,5.8861,7.4706e-12
84,5.9205,7.4699e-12
85,5.9549,7.3156e-12
86,5.9779,7.202e-12
87,6.018,7.053e-12
88,6.0525,6.9433e-12
89,6.1098,6.9422e-12
90,6.1614,6.8339e-12
91,6.1901,6.7277e-12
92,6.2245,6.623e-12
93,6.2531,6.6917e-12
94,6.2933,6.4856e-12
95,6.3049,6.2212e-12
96,6.3393,6.0611e-12
97,6.3738,5.9668e-12
98,6.391,5.8134e-12
99,6.4254,5.8129e-12
100,6.4713,5.7223e-12
101,6.4999,5.6922e-12
102,6.5401,5.5456e-12
103,6.5745,5.4593e-12
104,6.5803,5.3192e-12
105,6.6148,5.1554e-12
106,6.6721,5.1013e-12
107,6.7238,4.944e-12
108,6.7697,4.7916e-12
109,6.8099,4.6926e-12
110,6.8787,4.6191e-12
111,6.9074,4.4538e-12
112,6.9362,4.2499e-12
113,6.9935,4.2053e-12
114,7.028,4.0337e-12
115,7.0797,3.889e-12
116,7.1254,4.0327e-12
117,7.1828,3.9286e-12
118,7.2229,3.9078e-12
119,7.263,3.9483e-12
120,7.3032,3.8868e-12
121,7.3377,3.7281e-12
122,7.3549,3.6135e-12
123,7.3951,3.5758e-12
124,7.4352,3.6316e-12
125,7.4638,3.6884e-12
126,7.5039,3.688e-12
127,7.5211,3.6308e-12
128,7.5498,3.519e-12
129,7.59,3.4284e-12
130,7.613,3.3576e-12
131,7.6361,3.1874e-12
