,m_a [eV],G_ap[GeV^-1]
0,7.451476793248945e-09,1.0
1,7.451476793248945e-09,4.636423720758102e-07
2,8.759493670886077e-09,6.270911331897466e-07
3,8.759493670886077e-09,5.392086984645202e-07
4,9.518987341772153e-09,5.814920409996039e-07
5,9.518987341772153e-09,6.270911331897466e-07
6,1.0489451476793248e-08,7.022811116955993e-07
7,1.0489451476793248e-08,6.270911331897466e-07
8,1.110126582278481e-08,7.022811116955993e-07
9,1.110126582278481e-08,7.29297005862519e-07
10,1.1333333333333334e-08,7.29297005862519e-07
11,1.1333333333333334e-08,5.392086984645202e-07
12,1.1396624472573841e-08,5.814920409996039e-07
13,1.1417721518987341e-08,6.51214560981168e-07
14,1.1459915611814347e-08,7.29297005862519e-07
15,1.1544303797468356e-08,7.573521683871995e-07
16,1.1544303797468356e-08,5.392086984645202e-07
17,1.1565400843881855e-08,6.038613275672323e-07
18,1.1565400843881855e-08,5.392086984645202e-07
19,1.1586497890295358e-08,6.038613275672323e-07
20,1.1586497890295358e-08,5.392086984645202e-07
21,1.1607594936708861e-08,5.392086984645202e-07
22,1.1607594936708861e-08,7.573521683871995e-07
23,1.1670886075949367e-08,7.573521683871995e-07
24,1.169198312236287e-08,7.022811116955993e-07
25,1.1734177215189873e-08,6.270911331897466e-07
26,1.179746835443038e-08,8.167417539906881e-07
27,1.179746835443038e-08,5.599513966362389e-07
28,1.2641350210970464e-08,4.636423720758102e-07
29,1.2641350210970464e-08,9.498576589952795e-07
30,1.270464135021097e-08,5.192343875671763e-07
31,1.2746835443037974e-08,5.814920409996039e-07
32,1.2789029535864979e-08,6.762659874917675e-07
33,1.2810126582278482e-08,7.864865786503995e-07
34,1.2852320675105484e-08,1.0243430240668018e-06
35,1.2852320675105484e-08,6.51214560981168e-07
36,1.2873417721518988e-08,6.51214560981168e-07
37,1.2894514767932489e-08,1.0243430240668018e-06
38,1.2936708860759493e-08,7.864865786503995e-07
39,1.2978902953586498e-08,6.038613275672323e-07
40,1.3063291139240506e-08,5.000000000000009e-07
41,1.310548523206751e-08,4.636423720758102e-07
42,1.310548523206751e-08,1.0637482455200681e-06
43,1.3379746835443038e-08,1.104669337576542e-06
44,1.3379746835443038e-08,6.762659874917675e-07
45,1.3443037974683544e-08,7.864865786503995e-07
46,1.3485232067510548e-08,9.146713716764309e-07
47,1.3548523206751054e-08,1.104669337576542e-06
48,1.3590717299578058e-08,1.104669337576542e-06
49,1.3590717299578058e-08,7.022811116955993e-07
50,1.3632911392405063e-08,7.022811116955993e-07
51,1.3632911392405063e-08,1.104669337576542e-06
52,1.3675105485232067e-08,1.0637482455200681e-06
53,1.3717299578059072e-08,8.80788516301895e-07
54,1.3780590717299577e-08,7.864865786503995e-07
55,1.3822784810126582e-08,7.022811116955993e-07
56,1.3822784810126582e-08,1.0637482455200681e-06
57,1.4308016877637131e-08,1.0243430240668018e-06
58,1.4308016877637131e-08,9.146713716764309e-07
59,1.4371308016877637e-08,1.0243430240668018e-06
60,1.4518987341772153e-08,1.0243430240668018e-06
61,1.4518987341772153e-08,7.864865786503995e-07
62,1.4561181434599157e-08,7.864865786503995e-07
63,1.4561181434599157e-08,1.0243430240668018e-06
64,1.4919831223628692e-08,9.863975196888116e-07
65,1.4919831223628692e-08,7.022811116955993e-07
66,1.4983122362869198e-08,7.864865786503995e-07
67,1.50253164556962e-08,8.80788516301895e-07
68,1.5046413502109703e-08,9.863975196888116e-07
69,1.5130801687763712e-08,9.863975196888116e-07
70,1.5130801687763712e-08,8.167417539906881e-07
71,1.5151898734177215e-08,8.167417539906881e-07
72,1.5151898734177215e-08,9.863975196888116e-07
73,1.5257383966244727e-08,9.863975196888116e-07
74,1.5362869198312235e-08,7.573521683871995e-07
75,1.5383966244725738e-08,9.863975196888116e-07
76,1.559493670886076e-08,9.863975196888116e-07
77,1.561603375527426e-08,1.104669337576542e-06
78,1.6628691983122363e-08,1.0637482455200681e-06
79,1.6924050632911392e-08,1.0637482455200681e-06
80,1.6924050632911392e-08,1.104669337576542e-06
81,1.7683544303797467e-08,1.0637482455200681e-06
82,1.7683544303797467e-08,1.1912946314966197e-06
83,1.8654008438818566e-08,1.147164613921586e-06
84,1.8654008438818566e-08,1.2371222767944221e-06
85,1.9371308016877635e-08,1.2371222767944221e-06
86,1.9371308016877635e-08,1.0
