,m_a [eV],G_ap[GeV^-1]
0,1.166214141519887e-11,1.0
1,1.166214141519887e-11,4.93567649045414e-16
2,2.3761931011815613e-11,5.906069831358558e-16
3,3.391830636859239e-11,6.464031967986986e-16
4,8.058979124789236e-11,8.065545078400179e-16
5,9.6284470144112e-11,8.437935121367743e-16
6,1.1503565212640764e-10,8.827518589299466e-16
7,1.6420497669080395e-10,9.671670741820621e-16
8,2.4209704231887e-10,1.0676699754029543e-15
9,2.6462300125072034e-10,1.0920392784075612e-15
10,3.161587700789606e-10,1.1436645583449283e-15
11,4.128759199835904e-10,1.2237771817983927e-15
12,4.51292027542848e-10,1.2517095931618563e-15
13,5.391818991547298e-10,1.3108831590078567e-15
14,5.893482284438248e-10,1.3393906693816032e-15
15,6.441651586033028e-10,1.3570223453055797e-15
16,7.696452430532476e-10,1.4377546831458383e-15
17,9.195349319248758e-10,1.505723381219489e-15
18,1.0050865973135205e-09,1.5368466506002237e-15
19,1.2008446823467973e-09,1.6163027653985548e-15
20,1.3125861083639773e-09,1.6566845965300487e-15
21,1.5682299090649568e-09,1.7405001735098796e-15
22,1.8736637787148676e-09,1.82855617800329e-15
23,2.0480193436680175e-09,1.876218311427189e-15
24,2.4469308579222448e-09,1.979472098236037e-15
25,2.6746499336517414e-09,2.0353557856801247e-15
26,3.1956791122417916e-09,2.160996267417755e-15
27,3.818281575892746e-09,2.308954441841193e-15
28,4.562243431609137e-09,2.4774704816419914e-15
29,4.987033414239808e-09,2.5825736614863274e-15
30,5.451393478668709e-09,2.694975930766054e-15
31,5.959050537343539e-09,2.8211806554508984e-15
32,6.514089936795215e-09,2.9689072194951078e-15
33,7.1208738078463516e-09,3.1309652185524104e-15
34,7.784409731924341e-09,3.3333534031945398e-15
35,8.509831124965352e-09,3.556316182528769e-15
36,1.00456076018806e-08,4.031335919414593e-15
37,1.00456076018806e-08,2.187436251377455e-12
38,1.270108319410125e-08,2.649108124092194e-12
39,1.3886191893148575e-08,2.926380915123844e-12
40,1.51824297348703e-08,3.2703890169724363e-12
41,1.6599613208205948e-08,3.650984851609758e-12
42,1.814940019470076e-08,4.09885935543012e-12
43,1.9845751146919004e-08,4.742897530136543e-12
44,2.1699772714494604e-08,5.4172201611777945e-12
45,2.3728613100927e-08,6.32373139646563e-12
46,2.5947853129276413e-08,7.447089047193519e-12
47,2.8373933963734e-08,8.699389415226322e-12
48,3.102756378497781e-08,1.0237563478456065e-11
49,3.39294819916436e-08,1.2060418768012717e-11
50,3.7105249422845786e-08,1.4510656324650927e-11
51,4.0577064290441537e-08,1.729379175088454e-11
52,4.437489315898103e-08,2.07853311935459e-11
53,4.852770262942231e-08,2.4902895130116725e-11
54,5.30705480469112e-08,3.008889825267293e-11
55,5.803771023486809e-08,3.6163712645534954e-11
56,6.346998503325238e-08,4.3510861083413183e-11
57,6.94127707054427e-08,5.284986060521819e-11
58,7.591298683293635e-08,6.446467416361046e-11
59,8.302137482629875e-08,7.846642184385405e-11
60,9.079508383581139e-08,9.540869623320671e-11
61,9.929701098584165e-08,1.161314953241926e-10
62,1.0859433244997684e-07,1.410575012062637e-10
63,1.1876451961800549e-07,1.7242094486368305e-10
64,1.2988461181876298e-07,2.094286960673232e-10
65,1.5534892113344636e-07,3.1093971154588824e-10
66,1.6989725781100343e-07,3.7967506978863083e-10
67,2.2959300023156196e-07,7.435068419596704e-10
68,2.511000342319926e-07,9.145900458854608e-10
69,2.746136005159027e-07,1.1144137749404701e-09
70,3.003290294999867e-07,1.3578958871946888e-09
71,3.284579110924855e-07,1.6633214809943341e-09
72,3.5921544120421815e-07,2.0267314070533953e-09
73,3.9286351398164593e-07,2.490461051222252e-09
74,4.2964506109017583e-07,3.018631039033925e-09
75,4.6989034741628744e-07,3.709313925151251e-09
76,5.138919257670678e-07,4.519741443025443e-09
77,5.620231542244333e-07,5.53634715416638e-09
78,6.146542757599402e-07,6.753070136096611e-09
79,6.722229276213989e-07,8.272008720224004e-09
80,7.351786347776543e-07,1.0111249293832767e-08
81,8.040303340232728e-07,1.2359435989480537e-08
82,8.793215246881977e-07,1.5059780914013004e-08
83,9.616726408578647e-07,1.840824934816638e-08
