,m_a [eV],G_ap[GeV^-1]
0,999.999999999999,1.4873521072935119e-10
1,10155.286042213333,1.4873521072935119e-10
2,22580.23666504517,1.778279410038923e-10
3,60007.1052515286,2.1261123338996555e-10
4,103813.15502636309,2.5419816654466576e-10
5,141596.2087498829,4.703420341698635e-10
6,181986.1095724621,7.725578939550317e-10
7,217508.43290824682,1.2944013747378925e-09
8,296671.1633329596,4.520353656360241e-09
9,347623.3869195719,1.126481692335889e-08
10,396707.4562747295,3.2903445623126775e-08
11,458741.3387219815,1.0826367338740563e-07
12,520069.26119903626,3.5622478902624516e-07
13,551917.0427984674,8.877197088985879e-07
14,570445.4876817245,2.126112333899664e-06
15,566690.6932702429,5.736152510448693e-06
16,509867.08784945024,1.3738237958832666e-05
17,438017.43311909126,2.30180731302247e-05
18,361674.09183199645,4.0128070319427885e-05
19,296671.1633329596,6.723357536499363e-05
20,249865.06824871866,0.00010000000000000021
21,194410.1472698494,0.000177827941003893
22,155311.84859490767,0.00027520427278469005
23,129091.8015188559,0.00040932565506248845
24,108724.86369919946,0.0005851151987094166
25,84594.52500425323,0.0009803458401184753
