,m_a [eV],G_ap[GeV^-1]
0,390.63,1.0
1,386.88,3.6199e-15
2,398.42,2.6595e-15
3,409.98,2.2795e-15
4,458.08,2.3824e-15
5,471.81,1.7122e-15
6,527.34,1.6751e-15
7,543.39,1.1023e-15
8,700.15,5.8212e-16
9,874.18,6.2201e-16
10,951.62,4.6717e-16
11,1095.2,3.4326e-16
12,1260.3,2.6357e-16
13,1371.4,2.1148e-16
14,1376.6,1.0224e-16
15,1540.1,8.3863e-17
16,1675.7,6.8789e-17
17,1874.3,5.8967e-17
18,1928.7,5.0543e-17
19,2218.0,4.3327e-17
20,2414.2,3.3267e-17
21,2473.1,6.7314e-17
22,2615.0,6.4417e-17
23,2783.3,1.7566e-17
24,3289.9,1.6087e-17
25,3586.3,9.2763e-18
26,3895.0,1.0823e-17
27,4479.2,9.2782e-18
28,5149.4,8.4968e-18
29,6257.4,7.955e-18
30,7610.0,6.3836e-18
31,9511.5,5.5945e-18
32,11561.0,5.012e-18
33,13676.0,3.9342e-18
34,16182.0,2.9551e-18
35,20244.0,2.1715e-18
36,24614.0,1.821e-18
37,29100.0,1.5958e-18
38,32545.0,1.3984e-18
39,35403.0,1.1987e-18
40,40709.0,1.0504e-18
41,300000.0,9e-20
42,5000000.0,1e-20
